,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement,Salary,Win_Pct
166,Ochai Agbaji,24.0,TOR,64.0,27.2,10.4,0.498,0.399,0.708,12.0,0.601,0.474,7.5,7.9,1.6,1.6,8.9,14.6,3.1,-0.7,0.5,6383525.0,0.366
167,Jaylen Wells,21.0,MEM,79.0,25.9,10.4,0.425,0.352,0.822,10.5,0.56,0.58,6.9,8.4,1.0,0.4,8.6,15.9,3.5,-2.2,-0.1,1955377.0,0.585
168,Grant Williams,26.0,CHO,16.0,29.9,10.4,0.439,0.365,0.838,11.5,0.596,0.602,9.1,11.3,1.8,2.7,16.7,14.8,0.7,-1.6,0.1,13645500.0,0.232
169,Kevin Porter Jr.,24.0,LAC,75.0,19.8,10.3,0.449,0.311,0.769,15.4,0.531,0.271,10.4,25.9,2.7,0.9,15.8,25.4,2.2,-0.6,0.5,5134000.0,0.61
170,Jose Alvarado,26.0,NOP,56.0,24.4,10.3,0.392,0.359,0.811,13.4,0.523,0.593,5.4,27.3,2.6,1.0,13.4,19.8,1.2,-1.4,0.2,4500000.0,0.256
171,Nic Claxton,25.0,BRK,70.0,26.9,10.3,0.563,0.238,0.513,16.5,0.569,0.037,15.5,13.7,1.6,5.3,12.0,16.8,4.3,0.4,1.1,25352272.0,0.317
172,Herbert Jones,26.0,NOP,20.0,32.4,10.3,0.436,0.306,0.825,10.4,0.541,0.419,6.5,13.8,2.8,1.3,15.6,14.6,0.4,-3.6,-0.3,13937574.0,0.256
173,De'Anthony Melton,26.0,GSW,6.0,20.2,10.3,0.407,0.371,0.625,13.3,0.539,0.648,8.9,21.1,2.8,1.6,14.8,23.5,0.2,-0.8,0.0,3080921.0,0.585
174,Isaiah Joe,25.0,OKC,74.0,21.7,10.2,0.44,0.412,0.821,14.0,0.617,0.793,6.6,9.7,1.4,0.6,5.8,17.2,5.1,1.3,1.4,12362338.0,0.829
175,Tyus Jones,28.0,PHO,81.0,26.8,10.2,0.448,0.414,0.895,14.5,0.585,0.587,5.0,27.7,1.6,0.3,11.4,16.2,4.4,0.1,1.1,7000000.0,0.439
176,Trendon Watford,24.0,BRK,44.0,20.8,10.2,0.469,0.33,0.762,13.0,0.557,0.251,9.9,21.0,1.5,1.3,17.1,23.3,0.7,-3.1,-0.3,2461463.0,0.317
177,Luguentz Dort,25.0,OKC,71.0,29.2,10.1,0.435,0.412,0.717,11.3,0.586,0.696,7.6,6.9,1.8,1.9,7.7,13.6,5.6,0.2,1.2,18222222.0,0.829
178,Justin Edwards,21.0,PHI,44.0,26.3,10.1,0.455,0.363,0.696,11.3,0.559,0.503,7.3,8.9,1.9,1.4,11.0,16.9,0.9,-3.7,-0.5,2048494.0,0.293
179,Derrick Jones Jr.,27.0,LAC,77.0,24.3,10.1,0.526,0.356,0.703,13.5,0.609,0.372,8.0,4.6,2.1,1.7,9.3,16.5,4.7,-0.3,0.8,10000000.0,0.61
180,Ausar Thompson,22.0,DET,59.0,22.5,10.1,0.535,0.224,0.641,17.2,0.568,0.107,12.6,14.4,3.5,2.9,13.3,19.1,3.8,1.7,1.2,8775000.0,0.537
181,Chris Boucher,32.0,TOR,50.0,17.2,10.0,0.492,0.363,0.782,18.7,0.615,0.522,13.9,5.9,1.3,2.8,6.6,21.2,2.7,2.3,0.9,2296274.0,0.366
182,Andrew Nembhard,25.0,IND,65.0,28.9,10.0,0.458,0.291,0.794,11.7,0.545,0.325,6.4,22.5,2.0,0.5,15.8,16.3,2.8,-2.3,-0.1,18102000.0,0.61
183,Ziaire Williams,23.0,BRK,63.0,24.5,10.0,0.412,0.341,0.821,11.9,0.55,0.581,10.6,8.5,2.0,1.8,10.5,18.2,2.1,-2.3,-0.1,6250000.0,0.317
184,Kevin Huerter,26.0,SAC,69.0,24.3,9.9,0.425,0.338,0.714,11.3,0.544,0.647,6.7,12.6,1.9,1.3,9.7,17.5,1.9,-2.0,0.0,17991071.0,0.488
185,Georges Niang,31.0,CLE,79.0,21.5,9.9,0.461,0.406,0.793,11.2,0.607,0.66,8.7,8.8,0.8,0.8,11.3,17.9,2.9,-2.3,-0.1,8200000.0,0.78
186,Julian Champagnie,23.0,SAS,82.0,23.6,9.9,0.415,0.371,0.904,12.2,0.577,0.722,8.8,7.9,1.5,1.6,9.5,17.2,2.5,-1.3,0.4,3000000.0,0.415
187,Scotty Pippen Jr.,24.0,MEM,79.0,21.3,9.9,0.48,0.397,0.713,15.8,0.582,0.369,8.1,27.1,2.8,1.6,17.1,19.3,4.7,1.9,1.7,2270735.0,0.585
188,Nick Smith Jr.,20.0,CHO,60.0,22.8,9.9,0.391,0.34,0.935,8.3,0.502,0.539,5.0,16.7,0.6,0.4,12.2,20.8,-0.5,-5.7,-1.3,2710680.0,0.232
189,Bub Carrington,19.0,WAS,82.0,30.0,9.8,0.401,0.339,0.812,9.0,0.514,0.544,7.2,21.2,1.0,0.8,15.2,15.8,0.2,-4.6,-1.6,4677600.0,0.22
190,Moses Moody,22.0,GSW,74.0,22.3,9.8,0.433,0.374,0.797,12.4,0.578,0.593,6.2,8.3,1.7,1.8,7.9,17.4,3.5,-0.9,0.5,11574075.0,0.585
191,Amir Coffey,27.0,LAC,72.0,24.3,9.7,0.471,0.409,0.891,11.2,0.614,0.484,5.2,6.1,1.1,0.4,7.4,15.3,4.0,-1.7,0.1,2296274.0,0.61
192,Max Christie,21.0,LAL,78.0,27.3,9.6,0.427,0.366,0.855,10.4,0.57,0.532,6.7,9.2,1.5,1.3,11.8,15.2,2.7,-2.5,-0.3,7714286.0,0.61
193,Kyle Filipowski,21.0,UTA,72.0,21.1,9.6,0.502,0.35,0.65,14.9,0.594,0.425,15.6,13.9,1.5,1.4,14.9,18.7,2.5,-1.0,0.4,3000000.0,0.207
194,Miles McBride,24.0,NYK,64.0,24.9,9.5,0.406,0.369,0.813,12.6,0.531,0.57,5.8,15.6,2.1,1.0,6.7,16.8,3.2,0.0,0.8,4333333.0,0.622
195,Jalen Wilson,24.0,BRK,79.0,25.7,9.5,0.397,0.337,0.818,9.5,0.541,0.584,7.5,10.8,1.0,0.2,10.2,16.6,1.9,-3.9,-1.0,2221677.0,0.317
196,Nickeil Alexander-Walker,26.0,MIN,82.0,25.3,9.4,0.438,0.381,0.78,11.6,0.579,0.601,7.1,15.0,1.2,1.5,12.9,16.0,4.3,-0.4,0.8,15161800.0,0.598
197,Cole Anthony,24.0,ORL,67.0,18.4,9.4,0.424,0.353,0.823,14.2,0.531,0.401,9.5,25.5,1.8,2.5,14.8,24.6,2.0,0.1,0.7,15396274.0,0.5
198,Anthony Black,21.0,ORL,78.0,24.2,9.4,0.423,0.318,0.761,11.6,0.521,0.315,7.0,19.4,2.3,2.4,16.4,19.6,2.4,-1.9,0.0,7970280.0,0.5
199,Max Strus,28.0,CLE,50.0,25.5,9.4,0.442,0.386,0.824,12.6,0.607,0.786,9.2,15.6,1.0,0.9,12.2,14.7,3.4,1.3,1.1,15936452.0,0.78
200,Cam Whitmore,20.0,HOU,51.0,16.2,9.4,0.444,0.355,0.75,15.5,0.549,0.454,9.7,8.9,1.8,1.4,9.6,23.9,1.8,0.3,0.5,3539760.0,0.634
201,Nick Richards,27.0,PHO,57.0,22.0,9.3,0.591,0.0,0.744,16.6,0.634,0.006,20.4,5.9,0.5,4.2,16.3,17.3,3.0,-3.3,-0.4,5000000.0,0.439
202,Kel'el Ware,20.0,MIA,64.0,22.2,9.3,0.554,0.315,0.687,17.4,0.603,0.239,18.4,6.5,1.4,4.8,10.4,17.2,4.1,-0.1,0.7,4443360.0,0.451
203,Zach Edey,22.0,MEM,66.0,21.5,9.2,0.58,0.346,0.709,18.2,0.624,0.12,20.5,6.1,1.2,5.5,15.3,16.4,4.9,-0.1,0.7,6045000.0,0.585
204,Wendell Carter Jr.,25.0,ORL,68.0,25.9,9.1,0.46,0.234,0.737,13.7,0.544,0.322,16.0,11.5,1.5,2.2,11.9,16.0,4.6,-1.2,0.3,10850000.0,0.5
205,Noah Clowney,20.0,BRK,46.0,22.7,9.1,0.358,0.333,0.838,9.2,0.516,0.702,9.9,5.9,1.1,2.0,10.2,19.0,0.5,-4.1,-0.5,3398640.0,0.317
206,Dalton Knecht,23.0,LAL,78.0,19.2,9.1,0.461,0.376,0.762,12.7,0.594,0.61,8.1,6.5,0.8,0.5,5.9,18.5,2.7,-1.8,0.1,4010160.0,0.61
207,T.J. McConnell,32.0,IND,79.0,17.9,9.1,0.519,0.306,0.74,18.4,0.547,0.079,7.6,37.0,2.8,1.3,14.2,23.4,3.2,1.2,1.2,10200000.0,0.61
208,Yves Missi,20.0,NOP,73.0,26.8,9.1,0.547,0.0,0.623,15.4,0.572,0.002,16.6,7.2,0.9,4.8,12.4,14.3,3.6,-3.0,-0.5,3353040.0,0.256
209,Royce O'Neale,31.0,PHO,75.0,24.5,9.1,0.423,0.406,0.731,12.6,0.585,0.774,10.6,12.3,1.8,1.7,10.1,15.5,2.8,0.1,1.0,10125000.0,0.439
210,Marcus Smart,30.0,MEM,34.0,20.0,9.0,0.393,0.348,0.761,12.4,0.529,0.549,5.6,21.7,2.7,1.2,15.8,20.6,0.7,-1.5,0.1,26720855.0,0.585
211,Draymond Green,34.0,GSW,68.0,29.2,9.0,0.424,0.325,0.687,12.4,0.534,0.483,11.2,26.2,2.4,3.4,23.3,15.9,3.7,0.5,1.3,25892857.0,0.585
212,Al Horford,38.0,BOS,60.0,27.7,9.0,0.423,0.363,0.895,12.9,0.563,0.681,12.1,10.4,1.1,2.8,8.8,13.8,4.4,1.2,1.3,5685000.0,0.744
213,Julian Strawther,22.0,DEN,65.0,21.3,9.0,0.432,0.349,0.822,9.5,0.559,0.553,5.6,7.6,1.4,1.0,9.8,17.8,1.3,-4.5,-0.9,2674200.0,0.61
214,Patrick Williams,23.0,CHI,63.0,25.0,9.0,0.397,0.353,0.723,9.0,0.512,0.527,7.9,10.3,1.4,1.8,13.5,16.9,0.4,-3.7,-0.7,18000000.0,0.476
215,Jusuf Nurkić,30.0,CHO,51.0,20.8,8.9,0.477,0.305,0.664,15.2,0.555,0.298,20.5,16.8,1.9,3.1,19.2,20.6,1.5,-1.3,0.2,19375000.0,0.232
216,Clint Capela,30.0,ATL,55.0,21.4,8.9,0.559,0.0,0.536,17.7,0.564,0.003,21.8,7.4,1.4,4.1,9.8,16.7,3.2,-1.0,0.3,6700000.0,0.488
217,Luke Kennard,28.0,MEM,65.0,22.6,8.9,0.478,0.433,0.895,13.6,0.631,0.606,6.6,18.5,1.6,0.3,13.6,14.5,3.9,1.1,1.2,11000000.0,0.585
218,Justin Champagnie,23.0,WAS,62.0,21.6,8.8,0.511,0.383,0.685,15.7,0.614,0.47,13.6,6.8,2.3,2.6,10.9,15.6,2.8,-0.5,0.5,2349578.0,0.22
219,Svi Mykhailiuk,27.0,UTA,38.0,20.0,8.8,0.391,0.345,0.8,9.8,0.526,0.672,6.4,14.7,1.2,0.9,14.1,20.3,-0.1,-3.5,-0.3,3675000.0,0.207
220,Chris Paul,39.0,SAS,82.0,28.0,8.8,0.427,0.377,0.924,14.7,0.58,0.636,6.9,34.8,2.2,0.9,17.1,14.0,5.7,0.8,1.6,2296274.0,0.415
221,Kelly Olynyk,33.0,TOR,44.0,20.3,8.7,0.5,0.418,0.769,14.9,0.609,0.295,12.4,20.5,1.8,2.0,19.4,18.5,1.7,-0.7,0.3,13445122.0,0.366
222,Dorian Finney-Smith,31.0,LAL,63.0,28.9,8.7,0.448,0.411,0.667,10.1,0.604,0.722,7.7,6.9,1.6,1.2,11.0,12.3,2.9,-1.0,0.5,12700000.0,0.61
223,Kentavious Caldwell-Pope,31.0,ORL,77.0,29.6,8.7,0.439,0.342,0.863,9.9,0.574,0.607,4.3,8.7,2.2,1.4,9.6,12.4,4.6,-1.4,0.3,21621500.0,0.5
224,Isaiah Collier,20.0,UTA,71.0,25.9,8.7,0.422,0.249,0.682,9.7,0.494,0.305,6.9,34.3,1.7,0.8,25.0,18.9,-0.8,-5.3,-1.6,2638200.0,0.207
225,Dante Exum,29.0,DAL,20.0,18.6,8.7,0.478,0.434,0.742,13.6,0.589,0.396,4.8,21.5,1.6,0.7,13.0,19.6,0.6,-2.3,0.0,2296274.0,0.476
226,Kyshawn George,21.0,WAS,68.0,26.5,8.7,0.372,0.322,0.753,8.8,0.503,0.648,8.2,13.3,1.8,2.5,14.2,15.9,0.1,-4.1,-0.9,2966760.0,0.22
227,Jaden Hardy,22.0,DAL,57.0,15.9,8.7,0.435,0.386,0.698,10.4,0.549,0.476,5.3,13.2,1.5,0.5,15.4,25.3,-0.3,-4.7,-0.6,6000000.0,0.476
228,Dereck Lively II,20.0,DAL,36.0,23.1,8.7,0.702,0.0,0.63,20.1,0.704,0.0,17.7,14.3,1.2,5.7,15.5,13.6,3.4,3.3,1.1,5253360.0,0.476
229,Tyrese Martin,25.0,BRK,60.0,21.9,8.7,0.406,0.351,0.793,10.9,0.533,0.606,9.5,14.6,1.3,0.7,13.1,18.8,0.9,-2.6,-0.2,2191897.0,0.317
230,Matas Buzelis,20.0,CHI,80.0,18.9,8.6,0.454,0.361,0.815,12.5,0.571,0.479,9.6,7.2,0.9,4.3,10.9,18.7,1.9,-2.5,-0.2,5455560.0,0.476
231,Jaime Jaquez Jr.,23.0,MIA,66.0,20.7,8.6,0.461,0.311,0.754,14.3,0.543,0.258,11.7,17.9,2.2,1.0,15.7,20.2,2.3,-0.9,0.4,3861600.0,0.451
232,Ja'Kobe Walter,20.0,TOR,52.0,21.2,8.6,0.405,0.349,0.795,10.8,0.523,0.473,7.8,10.2,1.9,0.9,10.4,18.2,1.2,-3.0,-0.3,3638160.0,0.366
233,Sam Hauser,27.0,BOS,71.0,21.7,8.5,0.451,0.416,1.0,12.8,0.632,0.842,7.9,5.8,1.3,0.8,4.6,14.3,4.4,0.8,1.1,10044644.0,0.744
234,Larry Nance Jr.,32.0,ATL,24.0,19.3,8.5,0.516,0.447,0.692,16.0,0.632,0.49,12.2,11.3,2.0,2.6,9.1,15.7,1.3,1.8,0.4,2296274.0,0.488
235,Cason Wallace,21.0,OKC,68.0,27.6,8.4,0.474,0.356,0.811,12.3,0.562,0.425,6.5,11.5,3.1,1.9,10.5,12.8,5.2,1.0,1.5,5820240.0,0.829
236,Bruce Brown,28.0,NOP,41.0,22.5,8.3,0.421,0.333,0.815,10.9,0.504,0.262,9.6,12.8,1.8,1.0,10.4,17.2,0.7,-3.8,-0.4,2296274.0,0.256
237,Brandon Clarke,28.0,MEM,64.0,18.9,8.3,0.621,0.059,0.701,17.6,0.638,0.045,14.3,7.4,2.0,2.7,8.9,15.3,4.4,0.8,0.9,12500000.0,0.585
238,Keon Ellis,25.0,SAC,80.0,24.4,8.3,0.489,0.433,0.849,13.5,0.664,0.692,6.1,8.0,3.0,3.2,12.4,12.7,5.0,1.9,1.9,2301587.0,0.488
239,Brandon Williams,25.0,DAL,33.0,14.8,8.3,0.521,0.4,0.833,18.3,0.634,0.319,6.5,23.2,2.4,0.9,15.2,22.6,1.3,1.0,0.4,2270735.0,0.476
240,Mike Conley,37.0,MIN,71.0,24.7,8.2,0.4,0.41,0.9,13.3,0.573,0.662,5.7,24.5,2.2,0.7,12.9,14.4,5.2,1.2,1.4,10774038.0,0.598
241,Taurean Prince,30.0,MIL,80.0,27.1,8.2,0.457,0.439,0.813,9.8,0.613,0.652,7.2,9.4,1.7,0.6,13.3,12.5,3.5,-1.7,0.1,3303774.0,0.585
242,Jalen Smith,24.0,CHI,64.0,15.0,8.2,0.466,0.324,0.809,18.7,0.586,0.544,19.5,9.7,0.8,4.0,7.6,21.0,2.9,0.9,0.7,9000000.0,0.476
243,Quinten Post,24.0,GSW,42.0,16.3,8.1,0.449,0.408,0.778,14.2,0.595,0.653,11.6,12.2,1.1,2.5,10.3,19.6,1.7,0.1,0.4,1955377.0,0.585
244,Peyton Watson,22.0,DEN,68.0,24.4,8.1,0.477,0.353,0.693,11.4,0.564,0.318,7.7,7.0,1.4,5.0,10.3,13.9,2.5,-1.8,0.1,4356476.0,0.61
245,Davion Mitchell,26.0,TOR,74.0,27.4,7.9,0.468,0.398,0.69,10.2,0.573,0.443,4.5,24.2,1.7,0.8,20.0,13.6,3.0,-2.6,-0.3,11600000.0,0.366
246,Caleb Martin,29.0,PHI,45.0,27.1,7.9,0.424,0.359,0.622,9.6,0.513,0.339,8.2,10.7,1.9,1.8,13.9,14.4,0.6,-3.2,-0.4,9594044.0,0.293
247,Day'Ron Sharpe,23.0,BRK,50.0,18.1,7.9,0.521,0.244,0.757,19.7,0.568,0.142,20.7,16.8,2.3,4.6,15.3,19.9,2.7,0.9,0.7,6250000.0,0.317
248,Terance Mann,28.0,LAC,67.0,21.1,7.7,0.496,0.368,0.691,12.0,0.584,0.395,7.8,11.7,1.6,1.0,9.6,14.7,3.0,-1.3,0.2,15500000.0,0.61
249,Karlo Matković,23.0,NOP,42.0,18.8,7.7,0.574,0.318,0.773,15.6,0.639,0.281,14.2,8.6,1.3,5.0,14.5,15.9,1.6,-2.0,0.0,1955377.0,0.256
250,AJ Johnson,20.0,WAS,29.0,22.0,7.6,0.385,0.267,0.865,7.1,0.48,0.423,4.8,17.1,0.9,0.4,13.2,17.4,-0.4,-8.1,-1.0,3090480.0,0.22
251,Lonzo Ball,27.0,CHI,35.0,22.2,7.6,0.366,0.344,0.815,12.2,0.524,0.802,8.0,18.9,2.8,1.9,13.9,15.9,1.2,0.2,0.4,10000000.0,0.476
252,Matisse Thybulle,27.0,POR,15.0,20.8,7.5,0.477,0.438,0.467,17.0,0.592,0.545,9.0,12.7,5.1,2.6,12.1,14.4,0.9,5.0,0.6,11550000.0,0.439
253,A.J. Green,25.0,MIL,73.0,22.7,7.4,0.429,0.427,0.815,9.2,0.621,0.856,5.7,8.5,1.1,0.4,8.4,12.6,2.8,-2.2,-0.1,2301587.0,0.585
254,Josh Green,24.0,CHO,68.0,27.8,7.4,0.428,0.391,0.681,7.8,0.559,0.589,4.9,8.2,1.9,0.8,13.4,11.8,1.5,-4.3,-1.1,13666667.0,0.232
255,Ricky Council IV,23.0,PHI,73.0,17.1,7.3,0.382,0.258,0.804,11.6,0.502,0.46,9.7,11.4,1.3,1.0,8.9,20.3,0.6,-4.3,-0.7,2221677.0,0.293
256,Andre Drummond,31.0,PHI,40.0,18.8,7.3,0.5,0.15,0.622,16.0,0.535,0.085,23.4,6.8,2.6,2.4,16.7,19.1,1.2,-3.2,-0.2,5000000.0,0.293
257,Tre Jones,25.0,SAS,46.0,19.7,7.2,0.538,0.396,0.821,16.3,0.617,0.202,6.8,28.6,1.9,1.0,11.6,14.1,2.9,1.5,0.8,8000000.0,0.415
258,Goga Bitadze,25.0,ORL,70.0,20.4,7.2,0.611,0.107,0.639,19.2,0.631,0.083,18.6,14.8,1.7,6.6,15.3,14.3,5.8,2.5,1.6,8333333.0,0.5
259,Tristan Da Silva,23.0,ORL,74.0,22.0,7.2,0.412,0.335,0.873,9.9,0.522,0.495,8.6,10.3,1.0,1.1,9.9,15.2,2.5,-2.6,-0.3,3809520.0,0.5
260,GG Jackson II,20.0,MEM,29.0,15.8,7.2,0.372,0.337,0.725,9.3,0.482,0.477,10.6,8.2,1.2,1.0,12.5,21.7,0.1,-5.3,-0.4,2221677.0,0.585
261,Vit Krejci,24.0,ATL,57.0,20.2,7.2,0.497,0.437,0.711,12.7,0.661,0.705,7.4,16.5,1.5,2.1,13.8,12.9,2.6,0.7,0.8,2349578.0,0.488
262,Sam Merrill,28.0,CLE,71.0,19.7,7.2,0.406,0.372,0.966,11.1,0.583,0.868,6.1,9.6,1.8,0.9,7.4,14.3,3.3,0.3,0.8,8482144.0,0.78
263,Josh Okogie,26.0,PHO,40.0,15.6,7.1,0.443,0.348,0.741,16.3,0.567,0.434,9.9,7.9,3.8,2.8,11.1,19.5,1.3,1.5,0.6,2296274.0,0.439
264,Jamison Battle,23.0,TOR,59.0,17.7,7.1,0.429,0.405,0.889,10.7,0.59,0.746,8.1,7.1,0.8,0.9,7.1,15.3,1.7,-2.3,-0.1,1955377.0,0.366
265,Alex Caruso,30.0,OKC,54.0,19.3,7.1,0.446,0.353,0.824,15.9,0.568,0.541,8.2,16.6,4.0,2.9,9.9,15.2,3.9,4.0,1.6,18102000.0,0.829
266,Jamal Shead,22.0,TOR,75.0,19.6,7.1,0.405,0.323,0.768,9.9,0.499,0.442,4.2,29.8,1.9,0.7,18.0,18.6,0.8,-4.1,-0.8,1955377.0,0.366
267,Isaiah Jackson,23.0,IND,5.0,16.8,7.0,0.609,0.0,0.5,18.2,0.6,0.0,18.6,8.1,1.7,8.6,14.6,17.6,0.3,0.8,0.1,7600000.0,0.61
268,Jake LaRavia,23.0,MEM,66.0,20.4,6.9,0.475,0.423,0.678,12.6,0.591,0.421,10.3,14.6,2.2,1.6,18.2,14.4,2.9,0.2,0.8,6000000.0,0.585
269,Ryan Dunn,22.0,PHO,74.0,19.1,6.9,0.43,0.311,0.487,10.7,0.517,0.553,10.6,5.7,1.5,2.7,7.5,16.7,1.0,-4.1,-0.7,2657760.0,0.439
270,Jay Huff,26.0,MEM,64.0,11.7,6.9,0.515,0.405,0.786,18.2,0.666,0.656,9.1,7.0,1.0,6.9,9.3,19.6,2.5,3.5,1.1,2349578.0,0.585
271,Eric Gordon,36.0,PHI,39.0,19.7,6.8,0.426,0.409,0.75,10.8,0.591,0.672,3.4,12.0,1.7,1.5,11.1,14.4,0.9,-1.6,0.1,2296274.0,0.293
272,Jaxson Hayes,24.0,LAL,56.0,19.5,6.8,0.722,0.0,0.622,15.8,0.72,0.013,13.9,7.5,1.4,4.4,13.9,12.4,3.7,-0.3,0.5,3449323.0,0.61
273,Vasilije Micić,31.0,CHO,41.0,19.1,6.6,0.348,0.36,0.829,6.5,0.462,0.458,6.0,24.3,0.9,0.0,20.9,19.9,-1.0,-7.0,-1.0,8109150.0,0.232
274,Trayce Jackson-Davis,24.0,GSW,62.0,15.6,6.6,0.576,0.0,0.578,18.5,0.587,0.01,17.3,16.1,1.2,3.7,11.5,17.1,3.4,1.2,0.8,2221677.0,0.585
275,Marcus Sasser,24.0,DET,57.0,14.2,6.6,0.463,0.382,0.843,14.0,0.589,0.514,4.7,22.9,2.2,0.5,14.5,19.4,1.8,-0.6,0.3,2886720.0,0.537
276,Vince Williams Jr.,24.0,MEM,27.0,18.5,6.6,0.401,0.274,0.792,9.2,0.504,0.569,10.4,13.8,1.1,1.3,15.7,17.0,0.4,-2.8,-0.1,2301587.0,0.585
277,Thomas Bryant,27.0,IND,66.0,14.6,6.5,0.508,0.324,0.859,17.2,0.614,0.461,14.5,7.6,1.4,3.9,7.9,17.1,3.1,0.6,0.6,2296274.0,0.61
278,Donovan Clingan,20.0,POR,67.0,19.8,6.5,0.539,0.286,0.596,17.4,0.574,0.147,21.6,8.3,1.2,7.5,15.9,14.2,4.0,-0.3,0.6,7178400.0,0.439
279,Haywood Highsmith,28.0,MIA,74.0,24.6,6.5,0.458,0.382,0.721,9.9,0.583,0.596,7.7,8.4,1.9,2.0,11.6,11.3,3.3,-1.9,0.1,5616000.0,0.451
280,Ajay Mitchell,22.0,OKC,36.0,16.6,6.5,0.495,0.383,0.829,12.0,0.587,0.326,6.1,13.8,2.0,0.7,12.7,16.2,1.5,-1.6,0.1,3000000.0,0.829
281,Gary Payton II,32.0,GSW,62.0,15.0,6.5,0.574,0.326,0.711,16.2,0.635,0.319,10.7,13.5,2.7,1.7,11.0,16.1,3.0,1.4,0.8,2296274.0,0.585
282,Zach Collins,27.0,SAS,64.0,15.3,6.4,0.507,0.302,0.885,16.0,0.605,0.351,15.6,15.6,1.4,2.6,15.1,17.1,2.7,0.0,0.5,18080496.0,0.415
283,Kris Dunn,30.0,LAC,74.0,24.1,6.4,0.439,0.335,0.682,11.3,0.531,0.513,8.0,15.6,3.5,1.5,14.2,12.7,4.0,0.6,1.2,5426400.0,0.61
284,Ron Holland,19.0,DET,81.0,15.6,6.4,0.474,0.238,0.754,11.1,0.556,0.363,9.5,8.9,1.9,1.3,13.3,18.1,1.8,-3.0,-0.3,8657280.0,0.537
285,Gabe Vincent,28.0,LAL,72.0,21.2,6.4,0.4,0.353,0.714,7.4,0.536,0.736,3.4,8.7,1.6,0.8,8.7,13.5,1.3,-4.0,-0.8,11500000.0,0.61
286,Sandro Mamukelashvili,25.0,SAS,61.0,11.2,6.3,0.502,0.373,0.741,19.7,0.628,0.573,14.7,10.7,1.6,2.3,7.8,20.8,2.2,2.3,0.7,2461463.0,0.415
287,Kenrich Williams,30.0,OKC,69.0,16.4,6.3,0.483,0.386,0.718,13.7,0.587,0.483,11.4,11.0,1.8,0.9,9.5,15.4,3.6,0.6,0.7,7163000.0,0.829
288,Bones Hyland,24.0,LAC,24.0,10.0,6.2,0.398,0.39,0.885,16.0,0.576,0.695,5.9,20.1,3.7,1.7,16.2,28.2,0.5,2.7,0.3,2296274.0,0.61
289,Jonathan Mogbo,23.0,TOR,63.0,20.4,6.2,0.438,0.243,0.732,11.9,0.496,0.197,13.0,15.3,2.1,2.5,15.1,15.0,1.9,-1.9,0.0,1955377.0,0.366
290,Ryan Rollins,22.0,MIL,56.0,14.6,6.2,0.487,0.408,0.8,14.0,0.6,0.443,7.2,17.8,2.5,1.9,15.4,18.4,1.7,-0.5,0.3,4000000.0,0.585
291,Dru Smith,27.0,MIA,14.0,19.1,6.2,0.508,0.533,0.75,13.3,0.656,0.492,7.4,12.0,3.9,2.1,20.4,13.8,0.7,2.1,0.3,2378870.0,0.451
292,Isaac Okoro,24.0,CLE,55.0,19.1,6.1,0.464,0.371,0.717,10.7,0.587,0.566,6.7,8.0,1.5,1.4,7.4,12.5,2.5,-0.5,0.4,11000000.0,0.78
293,Jarace Walker,21.0,IND,75.0,15.8,6.1,0.472,0.405,0.667,11.9,0.59,0.514,10.8,12.2,2.2,1.9,16.7,17.1,1.6,-0.9,0.3,6665520.0,0.61
294,N'Faly Dante,23.0,HOU,4.0,12.8,6.0,0.769,0.0,0.8,24.0,0.789,0.0,21.9,5.7,1.0,8.8,11.6,13.9,0.3,2.4,0.1,2048494.0,0.634
295,Mouhamed Gueye,22.0,ATL,33.0,16.2,6.0,0.421,0.259,0.762,14.4,0.52,0.474,14.3,6.6,2.5,5.7,7.3,15.7,1.2,-0.6,0.2,2221677.0,0.488
296,Luke Kornet,29.0,BOS,73.0,18.6,6.0,0.668,0.0,0.691,19.6,0.683,0.011,15.5,11.9,1.3,4.8,8.8,11.4,7.0,3.3,1.8,11000000.0,0.744
297,Isaiah Stewart,23.0,DET,72.0,19.9,6.0,0.559,0.321,0.759,14.6,0.616,0.168,15.4,11.3,0.9,6.7,16.1,12.4,4.3,0.6,0.9,15000000.0,0.537
298,James Wiseman,23.0,IND,1.0,5.0,6.0,0.5,0.0,1.0,31.2,0.615,0.25,11.1,0.0,0.0,0.0,0.0,42.2,0.0,1.6,0.0,1000000.0,0.61
299,Chuma Okeke,26.0,PHI,9.0,21.8,5.9,0.5,0.393,0.667,15.3,0.641,0.7,13.5,10.5,1.3,2.0,6.8,9.8,0.6,-0.2,0.1,2546675.0,0.293
300,Kyle Anderson,31.0,GSW,61.0,16.4,5.9,0.469,0.357,0.738,15.1,0.538,0.231,11.2,20.7,2.0,3.1,10.0,15.9,2.8,1.5,0.9,9219512.0,0.585
301,Simone Fontecchio,29.0,DET,75.0,16.5,5.9,0.402,0.335,0.833,9.7,0.544,0.609,9.6,6.9,1.2,0.9,11.6,15.8,1.6,-2.9,-0.3,8307692.0,0.537
