Unnamed: 0,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement,Salary,Win_Pct,Salary_log,Archetype_ID,Player_Archetype
122,Moritz Wagner,27.0,ORL,30.0,18.8,12.9,0.562,0.36,0.718,22.3,0.649,0.301,15.0,13.7,2.1,2.0,14.1,26.8,2.0,4.0,0.9,5000000.0,0.5,15.424948670398354,6,Versatile Player
123,Scoot Henderson,20.0,POR,66.0,26.7,12.7,0.419,0.354,0.767,12.5,0.54,0.434,6.1,28.1,1.9,0.7,18.6,22.5,1.8,-2.2,-0.1,10748040.0,0.439,16.190234063373435,1,Low Efficiency Creator
124,Keldon Johnson,25.0,SAS,77.0,23.9,12.7,0.482,0.318,0.773,15.6,0.572,0.356,10.8,10.2,1.3,1.1,8.3,21.6,3.2,-1.6,0.2,17500000.0,0.415,16.677711496036597,5,3&D Specialist
125,D'Angelo Russell,28.0,LAL,58.0,25.5,12.6,0.39,0.314,0.834,14.0,0.522,0.564,6.2,31.2,1.9,1.5,13.3,24.0,1.9,-0.4,0.6,5685000.0,0.61,15.553341861068253,3,High Volume Inefficient Scorer
126,Zaccharie Risacher,19.0,ATL,75.0,24.6,12.6,0.458,0.355,0.711,12.2,0.558,0.442,8.0,7.1,1.3,1.8,9.8,20.9,1.8,-3.5,-0.7,13197720.0,0.488,16.395554721135458,1,Low Efficiency Creator
127,Santi Aldama,24.0,MEM,65.0,25.5,12.5,0.483,0.368,0.691,16.8,0.588,0.503,13.3,15.2,1.5,1.6,9.3,18.5,5.0,3.2,2.2,18485916.0,0.585,16.732519756912545,7,High - Impact Starter / Primary Option
128,Ty Jerome,27.0,CLE,70.0,19.9,12.5,0.516,0.439,0.872,21.0,0.643,0.409,6.7,24.5,2.7,0.2,11.9,23.6,5.9,4.3,2.2,8781000.0,0.78,15.988100968224371,7,High - Impact Starter / Primary Option
129,Keegan Murray,24.0,SAC,76.0,34.3,12.4,0.444,0.343,0.833,12.0,0.553,0.548,10.9,5.6,1.1,2.6,6.6,15.0,4.4,-1.6,0.2,11144093.0,0.488,16.22642022943851,5,3&D Specialist
130,Harrison Barnes,32.0,SAS,82.0,27.2,12.3,0.508,0.433,0.809,14.9,0.656,0.527,7.4,8.6,0.8,0.6,6.1,15.7,5.6,0.0,1.2,19000000.0,0.415,16.759949589762293,5,3&D Specialist
131,Bilal Coulibaly,20.0,WAS,59.0,33.0,12.3,0.421,0.281,0.746,10.8,0.515,0.359,7.8,14.9,1.9,1.9,15.1,17.9,0.3,-3.7,-0.8,7275600.0,0.22,15.800036979293521,1,Low Efficiency Creator
132,Ayo Dosunmu,25.0,CHI,46.0,30.3,12.3,0.492,0.328,0.785,12.8,0.585,0.421,6.1,20.2,1.4,1.1,12.5,16.6,2.5,-1.6,0.1,7518518.0,0.476,15.83287973504114,1,Low Efficiency Creator
133,Daniel Gafford,26.0,DAL,57.0,21.5,12.3,0.702,0.0,0.689,24.7,0.716,0.0,17.2,10.2,0.9,7.1,11.9,19.5,5.9,3.8,1.8,14386320.0,0.476,16.481788382520712,4,Defensive Anchor / Elite Rebounder
134,Jaden McDaniels,24.0,MIN,82.0,31.9,12.2,0.477,0.33,0.813,13.3,0.562,0.363,10.0,9.0,2.1,2.6,9.6,16.3,6.3,0.0,1.4,24393104.0,0.598,17.00981106836241,5,3&D Specialist
135,Jabari Smith Jr.,21.0,HOU,57.0,30.1,12.2,0.438,0.354,0.825,12.6,0.562,0.489,12.4,4.7,0.7,2.1,8.9,16.4,4.2,-0.7,0.6,12350392.0,0.634,16.329198442394304,5,3&D Specialist
136,Caris LeVert,30.0,CLE,64.0,24.9,12.1,0.467,0.373,0.71,15.2,0.582,0.474,6.9,18.1,1.7,1.9,10.2,19.4,4.0,0.9,1.2,14104000.0,0.78,16.46196907396171,5,3&D Specialist
137,Drew Timme,24.0,BRK,9.0,28.2,12.1,0.441,0.257,0.625,11.0,0.5,0.343,14.5,13.1,0.8,0.4,12.1,21.3,0.0,-6.7,-0.3,1955377.0,0.317,14.486094083095459,1,Low Efficiency Creator
138,Tari Eason,23.0,HOU,57.0,24.9,12.0,0.487,0.342,0.76,18.5,0.567,0.329,13.6,8.5,3.3,3.2,9.7,19.4,5.0,3.6,2.0,5675766.0,0.634,15.551716266384258,6,Versatile Player
139,Rudy Gobert,32.0,MIN,72.0,33.2,12.0,0.669,0.0,0.674,18.3,0.687,0.0,18.2,7.5,1.2,4.1,12.4,13.0,10.1,1.9,2.4,35000000.0,0.598,17.370858648025116,4,Defensive Anchor / Elite Rebounder
140,Aaron Nesmith,25.0,IND,45.0,25.0,12.0,0.507,0.431,0.913,14.6,0.653,0.515,8.8,6.6,1.5,1.4,8.2,17.4,2.9,-0.5,0.4,11000000.0,0.61,16.213405921671733,5,3&D Specialist
141,Aaron Wiggins,26.0,OKC,76.0,22.9,12.0,0.488,0.383,0.831,16.1,0.596,0.466,9.1,10.6,1.7,1.0,8.3,20.3,5.4,1.1,1.4,10102803.0,0.829,16.12832356704352,5,3&D Specialist
142,Khris Middleton,33.0,MIL,37.0,22.8,11.9,0.475,0.361,0.857,16.7,0.588,0.395,8.7,26.8,2.0,0.9,13.0,22.0,2.0,0.7,0.6,33296296.0,0.585,17.32095674756616,3,High Volume Inefficient Scorer
143,Jalen Duren,21.0,DET,78.0,26.1,11.8,0.692,0.0,0.669,21.4,0.703,0.0,22.0,14.7,1.3,4.2,17.2,16.4,9.2,3.1,2.7,6483144.0,0.537,15.684716290095507,4,Defensive Anchor / Elite Rebounder
144,Donte DiVincenzo,28.0,MIN,62.0,25.9,11.7,0.422,0.397,0.778,14.1,0.582,0.739,7.9,20.2,2.2,1.0,13.8,19.4,3.9,1.9,1.6,11990000.0,0.598,16.29958361040653,5,3&D Specialist
145,Brandin Podziemski,21.0,GSW,64.0,26.8,11.7,0.445,0.372,0.758,14.4,0.557,0.491,10.2,18.7,2.0,0.7,10.1,18.3,4.2,0.7,1.2,3687960.0,0.585,15.120584288765397,5,3&D Specialist
146,Corey Kispert,25.0,WAS,61.0,26.3,11.6,0.451,0.364,0.852,11.0,0.584,0.584,5.9,9.7,0.8,0.8,9.6,17.5,1.1,-3.7,-0.7,13975000.0,0.22,16.452780648561784,1,Low Efficiency Creator
147,Jeremy Sochan,21.0,SAS,54.0,25.3,11.4,0.535,0.308,0.696,15.9,0.589,0.194,13.8,13.7,1.6,1.8,13.8,19.0,2.7,-1.2,0.3,7096231.0,0.415,15.775074496912861,6,Versatile Player
148,Toumani Camara,24.0,POR,78.0,32.7,11.3,0.458,0.375,0.722,12.5,0.572,0.503,9.6,9.6,2.2,1.8,12.4,14.4,5.2,-0.1,1.2,2221677.0,0.439,14.613773324189143,5,3&D Specialist
149,Isaiah Hartenstein,26.0,OKC,57.0,27.9,11.2,0.581,0.0,0.675,18.9,0.599,0.04,20.6,18.3,1.4,3.9,15.3,16.7,6.8,3.2,2.1,28500000.0,0.829,17.1654146803266,4,Defensive Anchor / Elite Rebounder
150,Buddy Hield,32.0,GSW,82.0,22.7,11.1,0.417,0.37,0.828,12.3,0.56,0.698,7.6,10.7,1.8,1.2,10.1,20.5,2.8,-1.0,0.5,9219512.0,0.585,16.03683277418114,5,3&D Specialist
