,Unnamed: 0,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement,Salary,Win_Pct,Salary_log,Archetype_ID,Player_Archetype,Predicted_Salary,Value_Gap
173,173,De'Anthony Melton,26.0,GSW,6.0,20.2,10.3,0.407,0.371,0.625,13.3,0.539,0.648,8.9,21.1,2.8,1.6,14.8,23.5,0.2,-0.8,0.0,3080921.0,0.585,14.94073946080264,2,Low Impact / End of Bench,4976564.824831117,-1895643.824831117
174,174,Isaiah Joe,25.0,OKC,74.0,21.7,10.2,0.44,0.412,0.821,14.0,0.617,0.793,6.6,9.7,1.4,0.6,5.8,17.2,5.1,1.3,1.4,12362338.0,0.829,16.330165231572487,5,3&D Specialist,10818272.117654705,1544065.8823452946
175,175,Tyus Jones,28.0,PHO,81.0,26.8,10.2,0.448,0.414,0.895,14.5,0.585,0.587,5.0,27.7,1.6,0.3,11.4,16.2,4.4,0.1,1.1,7000000.0,0.439,15.76142084987672,5,3&D Specialist,10301311.061519897,-3301311.0615198966
176,176,Trendon Watford,24.0,BRK,44.0,20.8,10.2,0.469,0.33,0.762,13.0,0.557,0.251,9.9,21.0,1.5,1.3,17.1,23.3,0.7,-3.1,-0.3,2461463.0,0.317,14.716266852844925,1,Low Efficiency Creator,3465126.6987009086,-1003663.6987009086
177,177,Luguentz Dort,25.0,OKC,71.0,29.2,10.1,0.435,0.412,0.717,11.3,0.586,0.696,7.6,6.9,1.8,1.9,7.7,13.6,5.6,0.2,1.2,18222222.0,0.829,16.71815245113518,5,3&D Specialist,14883164.732022187,3339057.2679778133
178,178,Justin Edwards,21.0,PHI,44.0,26.3,10.1,0.455,0.363,0.696,11.3,0.559,0.503,7.3,8.9,1.9,1.4,11.0,16.9,0.9,-3.7,-0.5,2048494.0,0.293,14.532615935155736,1,Low Efficiency Creator,3450581.8817174467,-1402087.8817174467
179,179,Derrick Jones Jr.,27.0,LAC,77.0,24.3,10.1,0.526,0.356,0.703,13.5,0.609,0.372,8.0,4.6,2.1,1.7,9.3,16.5,4.7,-0.3,0.8,10000000.0,0.61,16.118095750958314,5,3&D Specialist,8861040.09034753,1138959.9096524697
180,180,Ausar Thompson,22.0,DET,59.0,22.5,10.1,0.535,0.224,0.641,17.2,0.568,0.107,12.6,14.4,3.5,2.9,13.3,19.1,3.8,1.7,1.2,8775000.0,0.537,15.98741744127631,6,Versatile Player,6597743.522914874,2177256.4770851256
181,181,Chris Boucher,32.0,TOR,50.0,17.2,10.0,0.492,0.363,0.782,18.7,0.615,0.522,13.9,5.9,1.3,2.8,6.6,21.2,2.7,2.3,0.9,2296274.0,0.366,14.646798802768483,6,Versatile Player,7457221.454340444,-5160947.454340444
182,182,Andrew Nembhard,25.0,IND,65.0,28.9,10.0,0.458,0.291,0.794,11.7,0.545,0.325,6.4,22.5,2.0,0.5,15.8,16.3,2.8,-2.3,-0.1,18102000.0,0.61,16.711533042611766,1,Low Efficiency Creator,12898413.140187055,5203586.859812945
183,183,Ziaire Williams,23.0,BRK,63.0,24.5,10.0,0.412,0.341,0.821,11.9,0.55,0.581,10.6,8.5,2.0,1.8,10.5,18.2,2.1,-2.3,-0.1,6250000.0,0.317,15.648092181712572,1,Low Efficiency Creator,4663885.952352587,1586114.0476474129
184,184,Kevin Huerter,26.0,SAC,69.0,24.3,9.9,0.425,0.338,0.714,11.3,0.544,0.647,6.7,12.6,1.9,1.3,9.7,17.5,1.9,-2.0,0.0,17991071.0,0.488,16.705386192811748,5,3&D Specialist,8535673.811977018,9455397.188022982
185,185,Georges Niang,31.0,CLE,79.0,21.5,9.9,0.461,0.406,0.793,11.2,0.607,0.66,8.7,8.8,0.8,0.8,11.3,17.9,2.9,-2.3,-0.1,8200000.0,0.78,15.919644834185693,5,3&D Specialist,6903405.560361942,1296594.4396380577
186,186,Julian Champagnie,23.0,SAS,82.0,23.6,9.9,0.415,0.371,0.904,12.2,0.577,0.722,8.8,7.9,1.5,1.6,9.5,17.2,2.5,-1.3,0.4,3000000.0,0.415,14.914123179965662,5,3&D Specialist,4199686.199986431,-1199686.1999864308
187,187,Scotty Pippen Jr.,24.0,MEM,79.0,21.3,9.9,0.48,0.397,0.713,15.8,0.582,0.369,8.1,27.1,2.8,1.6,17.1,19.3,4.7,1.9,1.7,2270735.0,0.585,14.635614565981587,7,High - Impact Starter / Primary Option,5777995.269453237,-3507260.269453237
188,188,Nick Smith Jr.,20.0,CHO,60.0,22.8,9.9,0.391,0.34,0.935,8.3,0.502,0.539,5.0,16.7,0.6,0.4,12.2,20.8,-0.5,-5.7,-1.3,2710680.0,0.232,14.812710452800374,1,Low Efficiency Creator,3573645.617303894,-862965.6173038939
189,189,Bub Carrington,19.0,WAS,82.0,30.0,9.8,0.401,0.339,0.812,9.0,0.514,0.544,7.2,21.2,1.0,0.8,15.2,15.8,0.2,-4.6,-1.6,4677600.0,0.22,15.358295929628422,1,Low Efficiency Creator,5437179.097026486,-759579.097026486
190,190,Moses Moody,22.0,GSW,74.0,22.3,9.8,0.433,0.374,0.797,12.4,0.578,0.593,6.2,8.3,1.7,1.8,7.9,17.4,3.5,-0.9,0.5,11574075.0,0.585,16.26427832753639,5,3&D Specialist,6158186.044522482,5415888.955477518
191,191,Amir Coffey,27.0,LAC,72.0,24.3,9.7,0.471,0.409,0.891,11.2,0.614,0.484,5.2,6.1,1.1,0.4,7.4,15.3,4.0,-1.7,0.1,2296274.0,0.61,14.646798802768483,5,3&D Specialist,4314627.1839080965,-2018353.1839080965
192,192,Max Christie,21.0,LAL,78.0,27.3,9.6,0.427,0.366,0.855,10.4,0.57,0.532,6.7,9.2,1.5,1.3,11.8,15.2,2.7,-2.5,-0.3,7714286.0,0.61,15.858584622139889,5,3&D Specialist,5804421.319791497,1909864.6802085033
193,193,Kyle Filipowski,21.0,UTA,72.0,21.1,9.6,0.502,0.35,0.65,14.9,0.594,0.425,15.6,13.9,1.5,1.4,14.9,18.7,2.5,-1.0,0.4,3000000.0,0.207,14.914123179965662,1,Low Efficiency Creator,3900317.495051462,-900317.4950514622
194,194,Miles McBride,24.0,NYK,64.0,24.9,9.5,0.406,0.369,0.813,12.6,0.531,0.57,5.8,15.6,2.1,1.0,6.7,16.8,3.2,0.0,0.8,4333333.0,0.622,15.281847780603844,5,3&D Specialist,6049578.7049312815,-1716245.7049312815
