,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement
91,Jared McCain,20.0,PHI,23.0,25.7,15.3,0.46,0.383,0.875,15.2,0.589,0.485,5.4,16.7,1.2,0.0,11.0,24.7,0.7,0.2,0.3
92,Mark Williams,23.0,CHO,44.0,26.6,15.3,0.604,0.0,0.804,23.9,0.647,0.009,20.3,16.5,1.3,4.5,12.0,21.4,4.7,3.5,1.6
93,Kelly Oubre Jr.,29.0,PHI,60.0,34.6,15.1,0.47,0.293,0.751,13.5,0.551,0.327,10.0,7.9,2.2,1.4,8.9,18.9,2.6,-2.3,-0.1
94,Chet Holmgren,22.0,OKC,32.0,27.4,15.0,0.49,0.379,0.754,19.2,0.599,0.34,15.7,9.7,1.3,8.2,12.3,22.0,3.2,2.4,1.0
95,Kyle Kuzma,29.0,MIL,65.0,29.8,14.8,0.436,0.307,0.634,10.6,0.514,0.369,10.2,12.1,0.9,0.9,13.5,24.0,-0.9,-4.9,-1.4
96,Stephon Castle,20.0,SAS,81.0,26.7,14.7,0.428,0.285,0.724,13.7,0.522,0.337,7.4,22.8,1.7,0.9,13.4,26.0,1.1,-3.2,-0.6
97,Aaron Gordon,29.0,DEN,51.0,28.4,14.7,0.531,0.436,0.81,17.0,0.65,0.346,9.4,15.0,0.8,0.9,11.3,19.0,4.3,1.2,1.2
98,P.J. Washington,26.0,DAL,57.0,32.2,14.7,0.453,0.381,0.722,14.0,0.556,0.359,13.1,10.1,1.7,2.8,13.6,20.4,2.4,-0.9,0.5
99,Quentin Grimes,24.0,DAL,75.0,26.8,14.6,0.467,0.385,0.757,15.9,0.595,0.512,8.9,17.7,1.8,1.0,13.3,22.8,3.4,0.4,1.2
100,Josh Giddey,22.0,CHI,70.0,30.2,14.6,0.465,0.378,0.781,18.1,0.57,0.348,14.0,32.9,1.9,1.8,18.4,21.7,5.3,3.0,2.7
101,Jakob Poeltl,29.0,TOR,57.0,29.6,14.5,0.627,0.333,0.674,20.0,0.641,0.005,17.4,14.5,1.9,4.0,14.7,18.7,5.5,2.0,1.7
102,Deandre Ayton,26.0,POR,40.0,30.2,14.4,0.566,0.188,0.667,17.7,0.583,0.068,18.2,8.5,1.2,2.9,12.2,19.4,2.8,-0.7,0.4
103,Gradey Dick,21.0,TOR,54.0,29.4,14.4,0.41,0.35,0.858,10.9,0.543,0.504,6.5,8.9,1.5,0.6,10.4,21.0,1.4,-3.2,-0.5
104,Jerami Grant,30.0,POR,47.0,32.4,14.4,0.373,0.365,0.849,10.9,0.523,0.516,5.8,9.5,1.3,2.7,9.1,19.4,1.8,-1.6,0.1
105,Payton Pritchard,27.0,BOS,80.0,28.4,14.3,0.472,0.407,0.845,17.6,0.633,0.723,7.3,18.1,1.5,0.6,8.4,19.0,8.6,3.5,3.2
106,Naz Reid,25.0,MIN,80.0,27.5,14.2,0.462,0.379,0.776,15.8,0.577,0.501,12.1,12.6,1.3,3.0,9.9,21.5,5.7,1.6,2.0
107,Dyson Daniels,21.0,ATL,76.0,33.8,14.1,0.493,0.34,0.593,15.6,0.545,0.255,9.6,17.9,4.2,2.0,13.6,18.2,5.0,1.5,2.3
108,Tre Mann,23.0,CHO,13.0,24.5,14.1,0.435,0.4,0.905,13.3,0.537,0.373,6.3,21.2,1.1,1.2,12.8,26.0,0.1,-2.4,0.0
109,Amen Thompson,22.0,HOU,69.0,32.2,14.1,0.557,0.275,0.684,18.7,0.602,0.131,13.5,16.9,2.1,3.6,14.6,17.5,8.0,4.1,3.4
110,Fred VanVleet,30.0,HOU,60.0,35.2,14.1,0.378,0.345,0.81,12.8,0.515,0.607,5.6,21.2,2.2,1.1,9.6,17.7,5.2,0.9,1.5
111,Dillon Brooks,29.0,HOU,75.0,31.8,14.0,0.429,0.397,0.818,11.0,0.555,0.524,6.1,7.4,1.2,0.6,7.4,17.7,5.1,-1.4,0.4
112,Tolu Smith,24.0,DET,1.0,22.0,14.0,0.667,0.0,0.667,19.5,0.678,0.0,20.1,0.0,0.0,0.0,16.2,23.6,0.1,-8.9,0.0
113,Klay Thompson,34.0,DAL,72.0,27.3,14.0,0.412,0.391,0.905,12.9,0.552,0.631,6.8,10.7,1.2,1.3,8.8,21.8,1.8,-1.0,0.5
114,Bobby Portis,29.0,MIL,49.0,25.4,13.9,0.466,0.365,0.836,17.7,0.542,0.299,18.0,12.9,1.4,1.9,8.3,24.1,2.7,0.2,0.7
115,Tobias Harris,32.0,DET,73.0,31.6,13.7,0.477,0.345,0.861,13.9,0.571,0.328,10.4,9.8,1.5,2.4,8.8,17.6,5.2,0.1,1.2
116,Josh Hart,29.0,NYK,77.0,37.6,13.6,0.525,0.333,0.776,16.5,0.611,0.327,14.6,20.7,2.0,0.9,15.5,15.3,9.2,2.8,3.6
117,Jarrett Allen,26.0,CLE,82.0,28.0,13.5,0.706,0.0,0.718,22.1,0.724,0.008,18.8,9.5,1.6,2.9,11.3,15.9,11.6,4.2,3.6
118,Onyeka Okongwu,24.0,ATL,74.0,27.9,13.4,0.567,0.324,0.759,19.0,0.634,0.216,17.5,11.4,1.6,3.0,10.4,17.3,7.2,1.3,1.7
119,Russell Westbrook,36.0,DEN,75.0,27.9,13.3,0.449,0.323,0.661,14.3,0.532,0.35,9.7,28.8,2.4,1.6,20.6,23.8,1.9,-1.1,0.5
120,Naji Marshall,27.0,DAL,69.0,27.8,13.2,0.508,0.275,0.813,15.1,0.584,0.306,9.3,15.8,1.8,0.5,12.5,20.0,3.5,-0.8,0.6
121,Dennis Schröder,31.0,DET,75.0,28.1,13.1,0.406,0.342,0.838,12.7,0.531,0.449,5.2,28.7,1.5,0.6,13.3,21.6,3.2,-2.2,-0.1
122,Rui Hachimura,26.0,LAL,59.0,31.7,13.1,0.509,0.413,0.77,13.6,0.619,0.429,8.9,6.4,1.2,1.3,7.3,15.8,4.3,-0.7,0.6
123,Brook Lopez,36.0,MIL,80.0,31.8,13.0,0.509,0.373,0.826,14.8,0.624,0.482,8.6,7.8,0.9,5.4,9.1,15.8,6.6,0.8,1.8
124,Alex Sarr,19.0,WAS,67.0,27.1,13.0,0.394,0.308,0.679,12.9,0.482,0.412,12.5,13.9,1.2,5.0,11.2,23.5,-0.3,-3.3,-0.6
125,Moritz Wagner,27.0,ORL,30.0,18.8,12.9,0.562,0.36,0.718,22.3,0.649,0.301,15.0,13.7,2.1,2.0,14.1,26.8,2.0,4.0,0.9
126,Malcolm Brogdon,32.0,WAS,24.0,23.5,12.7,0.433,0.286,0.88,15.8,0.544,0.233,8.4,27.4,1.1,0.8,11.9,23.7,0.7,-1.5,0.1
127,Scoot Henderson,20.0,POR,66.0,26.7,12.7,0.419,0.354,0.767,12.5,0.54,0.434,6.1,28.1,1.9,0.7,18.6,22.5,1.8,-2.2,-0.1
128,Keldon Johnson,25.0,SAS,77.0,23.9,12.7,0.482,0.318,0.773,15.6,0.572,0.356,10.8,10.2,1.3,1.1,8.3,21.6,3.2,-1.6,0.2
129,D'Angelo Russell,28.0,LAL,58.0,25.5,12.6,0.39,0.314,0.834,14.0,0.522,0.564,6.2,31.2,1.9,1.5,13.3,24.0,1.9,-0.4,0.6
130,Zaccharie Risacher,19.0,ATL,75.0,24.6,12.6,0.458,0.355,0.711,12.2,0.558,0.442,8.0,7.1,1.3,1.8,9.8,20.9,1.8,-3.5,-0.7
131,Santi Aldama,24.0,MEM,65.0,25.5,12.5,0.483,0.368,0.691,16.8,0.588,0.503,13.3,15.2,1.5,1.6,9.3,18.5,5.0,3.2,2.2
132,Ty Jerome,27.0,CLE,70.0,19.9,12.5,0.516,0.439,0.872,21.0,0.643,0.409,6.7,24.5,2.7,0.2,11.9,23.6,5.9,4.3,2.2
133,Keegan Murray,24.0,SAC,76.0,34.3,12.4,0.444,0.343,0.833,12.0,0.553,0.548,10.9,5.6,1.1,2.6,6.6,15.0,4.4,-1.6,0.2
134,Lonnie Walker IV,26.0,PHI,20.0,23.9,12.4,0.42,0.354,0.8,13.1,0.548,0.599,7.5,16.5,1.0,1.0,10.0,22.8,0.3,-2.4,0.0
135,Harrison Barnes,32.0,SAS,82.0,27.2,12.3,0.508,0.433,0.809,14.9,0.656,0.527,7.4,8.6,0.8,0.6,6.1,15.7,5.6,0.0,1.2
136,Bilal Coulibaly,20.0,WAS,59.0,33.0,12.3,0.421,0.281,0.746,10.8,0.515,0.359,7.8,14.9,1.9,1.9,15.1,17.9,0.3,-3.7,-0.8
137,Ayo Dosunmu,25.0,CHI,46.0,30.3,12.3,0.492,0.328,0.785,12.8,0.585,0.421,6.1,20.2,1.4,1.1,12.5,16.6,2.5,-1.6,0.1
138,Daniel Gafford,26.0,DAL,57.0,21.5,12.3,0.702,0.0,0.689,24.7,0.716,0.0,17.2,10.2,0.9,7.1,11.9,19.5,5.9,3.8,1.8
139,Jaden McDaniels,24.0,MIN,82.0,31.9,12.2,0.477,0.33,0.813,13.3,0.562,0.363,10.0,9.0,2.1,2.6,9.6,16.3,6.3,0.0,1.4
140,Jabari Smith Jr.,21.0,HOU,57.0,30.1,12.2,0.438,0.354,0.825,12.6,0.562,0.489,12.4,4.7,0.7,2.1,8.9,16.4,4.2,-0.7,0.6
141,Caris LeVert,30.0,CLE,64.0,24.9,12.1,0.467,0.373,0.71,15.2,0.582,0.474,6.9,18.1,1.7,1.9,10.2,19.4,4.0,0.9,1.2
142,Drew Timme,24.0,BRK,9.0,28.2,12.1,0.441,0.257,0.625,11.0,0.5,0.343,14.5,13.1,0.8,0.4,12.1,21.3,0.0,-6.7,-0.3
143,Tari Eason,23.0,HOU,57.0,24.9,12.0,0.487,0.342,0.76,18.5,0.567,0.329,13.6,8.5,3.3,3.2,9.7,19.4,5.0,3.6,2.0
144,Rudy Gobert,32.0,MIN,72.0,33.2,12.0,0.669,0.0,0.674,18.3,0.687,0.0,18.2,7.5,1.2,4.1,12.4,13.0,10.1,1.9,2.4
145,Aaron Nesmith,25.0,IND,45.0,25.0,12.0,0.507,0.431,0.913,14.6,0.653,0.515,8.8,6.6,1.5,1.4,8.2,17.4,2.9,-0.5,0.4
146,Aaron Wiggins,26.0,OKC,76.0,22.9,12.0,0.488,0.383,0.831,16.1,0.596,0.466,9.1,10.6,1.7,1.0,8.3,20.3,5.4,1.1,1.4
147,Khris Middleton,33.0,MIL,37.0,22.8,11.9,0.475,0.361,0.857,16.7,0.588,0.395,8.7,26.8,2.0,0.9,13.0,22.0,2.0,0.7,0.6
148,Jalen Duren,21.0,DET,78.0,26.1,11.8,0.692,0.0,0.669,21.4,0.703,0.0,22.0,14.7,1.3,4.2,17.2,16.4,9.2,3.1,2.7
149,Donte DiVincenzo,28.0,MIN,62.0,25.9,11.7,0.422,0.397,0.778,14.1,0.582,0.739,7.9,20.2,2.2,1.0,13.8,19.4,3.9,1.9,1.6
150,Brandin Podziemski,21.0,GSW,64.0,26.8,11.7,0.445,0.372,0.758,14.4,0.557,0.491,10.2,18.7,2.0,0.7,10.1,18.3,4.2,0.7,1.2
151,Corey Kispert,25.0,WAS,61.0,26.3,11.6,0.451,0.364,0.852,11.0,0.584,0.584,5.9,9.7,0.8,0.8,9.6,17.5,1.1,-3.7,-0.7
152,Jeremy Sochan,21.0,SAS,54.0,25.3,11.4,0.535,0.308,0.696,15.9,0.589,0.194,13.8,13.7,1.6,1.8,13.8,19.0,2.7,-1.2,0.3
153,Toumani Camara,24.0,POR,78.0,32.7,11.3,0.458,0.375,0.722,12.5,0.572,0.503,9.6,9.6,2.2,1.8,12.4,14.4,5.2,-0.1,1.2
154,Isaiah Hartenstein,26.0,OKC,57.0,27.9,11.2,0.581,0.0,0.675,18.9,0.599,0.04,20.6,18.3,1.4,3.9,15.3,16.7,6.8,3.2,2.1
155,Buddy Hield,32.0,GSW,82.0,22.7,11.1,0.417,0.37,0.828,12.3,0.56,0.698,7.6,10.7,1.8,1.2,10.1,20.5,2.8,-1.0,0.5
156,Jrue Holiday,34.0,BOS,62.0,30.6,11.1,0.443,0.353,0.909,13.5,0.565,0.534,7.6,17.3,1.7,1.3,11.3,15.8,5.1,0.7,1.3
157,Walker Kessler,23.0,UTA,58.0,30.0,11.1,0.663,0.176,0.52,20.0,0.66,0.081,21.9,8.3,1.0,7.4,15.0,13.7,5.4,1.8,1.7
158,Gary Trent Jr.,26.0,MIL,74.0,25.6,11.1,0.431,0.416,0.848,11.7,0.591,0.659,4.8,6.4,1.8,0.2,5.7,17.1,3.3,-1.6,0.2
159,Spencer Dinwiddie,31.0,DAL,79.0,27.0,11.0,0.416,0.334,0.802,13.0,0.553,0.478,5.3,22.1,1.6,0.7,11.4,17.9,3.7,-1.6,0.2
160,Tim Hardaway Jr.,32.0,DET,77.0,28.0,11.0,0.406,0.368,0.855,9.8,0.567,0.672,4.7,7.6,0.8,0.3,6.1,15.5,3.5,-2.1,0.0
161,Duncan Robinson,30.0,MIA,74.0,24.1,11.0,0.437,0.393,0.887,11.8,0.595,0.729,5.2,14.7,1.1,0.3,11.1,19.2,2.7,-1.7,0.1
162,Guerschon Yabusele,29.0,PHI,70.0,27.1,11.0,0.501,0.38,0.725,14.7,0.616,0.487,11.8,11.6,1.5,1.2,12.2,16.3,3.9,-1.0,0.5
163,Brice Sensabaugh,21.0,UTA,71.0,20.2,10.9,0.459,0.422,0.89,13.4,0.612,0.621,7.9,12.0,1.5,0.5,14.5,21.5,1.2,-1.2,0.3
164,Bogdan Bogdanović,32.0,LAC,54.0,25.0,10.8,0.427,0.363,0.879,11.1,0.559,0.587,6.6,15.2,1.5,0.8,12.4,18.7,1.9,-2.0,0.0
165,Jordan Hawkins,22.0,NOP,56.0,23.6,10.8,0.372,0.331,0.816,9.6,0.504,0.597,6.5,7.3,1.1,1.7,8.8,21.0,-0.5,-5.4,-1.2
166,Brandon Boston Jr.,23.0,NOP,42.0,23.6,10.7,0.436,0.35,0.788,12.7,0.535,0.367,7.3,13.7,2.6,0.9,11.1,20.0,0.7,-2.5,-0.1
167,Nikola Jović,21.0,MIA,46.0,25.1,10.7,0.456,0.371,0.828,13.8,0.595,0.557,8.6,16.6,1.6,1.1,12.6,18.3,2.5,0.3,0.7
168,Grayson Allen,29.0,PHO,64.0,24.1,10.6,0.448,0.426,0.816,13.7,0.631,0.716,7.0,12.5,1.7,1.2,12.2,17.6,2.5,-0.3,0.7
169,Keon Johnson,22.0,BRK,79.0,24.4,10.6,0.389,0.314,0.77,10.4,0.499,0.515,8.8,14.6,2.1,1.5,12.1,21.7,0.5,-3.3,-0.6
170,Terry Rozier,30.0,MIA,64.0,25.9,10.6,0.391,0.295,0.852,10.5,0.497,0.485,7.9,14.8,1.1,0.8,10.3,20.4,1.0,-3.7,-0.7
171,Obi Toppin,26.0,IND,79.0,19.6,10.5,0.529,0.365,0.781,17.4,0.642,0.503,11.5,11.9,1.4,1.6,9.5,20.1,4.3,1.7,1.4
172,Jonas Valančiūnas,32.0,WAS,81.0,18.8,10.4,0.55,0.216,0.879,20.8,0.602,0.059,22.0,17.6,1.2,2.8,14.6,22.8,4.3,0.6,1.0
173,Ochai Agbaji,24.0,TOR,64.0,27.2,10.4,0.498,0.399,0.708,12.0,0.601,0.474,7.5,7.9,1.6,1.6,8.9,14.6,3.1,-0.7,0.5
174,Jaylen Wells,21.0,MEM,79.0,25.9,10.4,0.425,0.352,0.822,10.5,0.56,0.58,6.9,8.4,1.0,0.4,8.6,15.9,3.5,-2.2,-0.1
175,Grant Williams,26.0,CHO,16.0,29.9,10.4,0.439,0.365,0.838,11.5,0.596,0.602,9.1,11.3,1.8,2.7,16.7,14.8,0.7,-1.6,0.1
176,Kevin Porter Jr.,24.0,LAC,75.0,19.8,10.3,0.449,0.311,0.769,15.4,0.531,0.271,10.4,25.9,2.7,0.9,15.8,25.4,2.2,-0.6,0.5
177,Jose Alvarado,26.0,NOP,56.0,24.4,10.3,0.392,0.359,0.811,13.4,0.523,0.593,5.4,27.3,2.6,1.0,13.4,19.8,1.2,-1.4,0.2
178,Nic Claxton,25.0,BRK,70.0,26.9,10.3,0.563,0.238,0.513,16.5,0.569,0.037,15.5,13.7,1.6,5.3,12.0,16.8,4.3,0.4,1.1
179,Herbert Jones,26.0,NOP,20.0,32.4,10.3,0.436,0.306,0.825,10.4,0.541,0.419,6.5,13.8,2.8,1.3,15.6,14.6,0.4,-3.6,-0.3
180,De'Anthony Melton,26.0,GSW,6.0,20.2,10.3,0.407,0.371,0.625,13.3,0.539,0.648,8.9,21.1,2.8,1.6,14.8,23.5,0.2,-0.8,0.0
181,Isaiah Joe,25.0,OKC,74.0,21.7,10.2,0.44,0.412,0.821,14.0,0.617,0.793,6.6,9.7,1.4,0.6,5.8,17.2,5.1,1.3,1.4
182,Tyus Jones,28.0,PHO,81.0,26.8,10.2,0.448,0.414,0.895,14.5,0.585,0.587,5.0,27.7,1.6,0.3,11.4,16.2,4.4,0.1,1.1
183,Trendon Watford,24.0,BRK,44.0,20.8,10.2,0.469,0.33,0.762,13.0,0.557,0.251,9.9,21.0,1.5,1.3,17.1,23.3,0.7,-3.1,-0.3
184,Keion Brooks Jr.,24.0,NOP,14.0,23.7,10.1,0.486,0.326,0.733,12.8,0.581,0.394,9.4,5.7,1.5,2.9,8.9,17.1,0.4,-3.5,-0.1
185,Luguentz Dort,25.0,OKC,71.0,29.2,10.1,0.435,0.412,0.717,11.3,0.586,0.696,7.6,6.9,1.8,1.9,7.7,13.6,5.6,0.2,1.2
