,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement
336,Dru Smith,27.0,MIA,14.0,19.1,6.2,0.508,0.533,0.75,13.3,0.656,0.492,7.4,12.0,3.9,2.1,20.4,13.8,0.7,2.1,0.3
337,Isaac Okoro,24.0,CLE,55.0,19.1,6.1,0.464,0.371,0.717,10.7,0.587,0.566,6.7,8.0,1.5,1.4,7.4,12.5,2.5,-0.5,0.4
338,Jarace Walker,21.0,IND,75.0,15.8,6.1,0.472,0.405,0.667,11.9,0.59,0.514,10.8,12.2,2.2,1.9,16.7,17.1,1.6,-0.9,0.3
339,N'Faly Dante,23.0,HOU,4.0,12.8,6.0,0.769,0.0,0.8,24.0,0.789,0.0,21.9,5.7,1.0,8.8,11.6,13.9,0.3,2.4,0.1
340,Mouhamed Gueye,22.0,ATL,33.0,16.2,6.0,0.421,0.259,0.762,14.4,0.52,0.474,14.3,6.6,2.5,5.7,7.3,15.7,1.2,-0.6,0.2
341,Luke Kornet,29.0,BOS,73.0,18.6,6.0,0.668,0.0,0.691,19.6,0.683,0.011,15.5,11.9,1.3,4.8,8.8,11.4,7.0,3.3,1.8
342,Isaiah Mobley,25.0,PHI,1.0,17.0,6.0,0.286,0.333,0.5,17.2,0.381,0.429,13.3,41.8,2.9,5.8,0.0,20.2,0.0,4.7,0.0
343,Isaiah Stewart,23.0,DET,72.0,19.9,6.0,0.559,0.321,0.759,14.6,0.616,0.168,15.4,11.3,0.9,6.7,16.1,12.4,4.3,0.6,0.9
344,James Wiseman,23.0,IND,1.0,5.0,6.0,0.5,0.0,1.0,31.2,0.615,0.25,11.1,0.0,0.0,0.0,0.0,42.2,0.0,1.6,0.0
345,Isaiah Wong,24.0,CHO,20.0,13.3,6.0,0.39,0.394,0.735,10.9,0.5,0.314,6.4,16.5,2.0,0.0,13.0,22.1,0.1,-4.0,-0.1
346,Cole Swider,25.0,TOR,10.0,16.9,5.9,0.349,0.319,0.0,6.5,0.465,0.746,8.6,2.3,1.1,1.1,5.9,16.7,0.0,-7.3,-0.2
347,Chuma Okeke,26.0,PHI,9.0,21.8,5.9,0.5,0.393,0.667,15.3,0.641,0.7,13.5,10.5,1.3,2.0,6.8,9.8,0.6,-0.2,0.1
348,Kyle Anderson,31.0,GSW,61.0,16.4,5.9,0.469,0.357,0.738,15.1,0.538,0.231,11.2,20.7,2.0,3.1,10.0,15.9,2.8,1.5,0.9
349,Simone Fontecchio,29.0,DET,75.0,16.5,5.9,0.402,0.335,0.833,9.7,0.544,0.609,9.6,6.9,1.2,0.9,11.6,15.8,1.6,-2.9,-0.3
350,Collin Gillespie,25.0,PHO,33.0,14.0,5.9,0.43,0.433,0.864,16.8,0.578,0.57,9.4,24.0,2.3,1.0,9.2,17.7,1.3,2.5,0.5
351,Tidjane Salaün,19.0,CHO,60.0,20.7,5.9,0.33,0.283,0.713,7.7,0.457,0.594,12.0,8.5,1.1,1.1,13.1,15.2,0.0,-5.2,-1.0
352,Jaylin Williams,22.0,OKC,47.0,16.7,5.9,0.439,0.399,0.767,16.4,0.594,0.692,17.9,19.0,1.3,3.7,13.0,14.6,3.3,4.3,1.2
353,Moses Brown,25.0,IND,13.0,9.2,5.8,0.694,0.0,0.727,22.4,0.706,0.0,20.3,2.9,2.4,2.9,17.0,23.5,0.4,0.1,0.1
354,Adem Bona,21.0,PHI,58.0,15.6,5.8,0.703,0.0,0.67,16.5,0.714,0.005,15.3,4.4,1.4,7.5,20.5,14.3,2.3,-2.7,-0.2
355,Quenton Jackson,26.0,IND,28.0,13.6,5.8,0.475,0.375,0.775,14.7,0.58,0.328,6.4,18.6,2.6,1.2,10.3,17.7,1.0,-0.3,0.2
356,Robert Williams,27.0,POR,20.0,17.6,5.8,0.641,0.333,0.882,18.9,0.679,0.038,18.2,8.6,1.8,8.5,16.6,12.2,1.3,3.0,0.4
357,Moussa Diabaté,23.0,CHO,71.0,17.5,5.7,0.596,0.0,0.595,16.5,0.609,0.021,18.8,6.8,1.8,3.2,15.6,13.4,3.2,-1.9,0.0
358,Dariq Whitehead,20.0,BRK,20.0,12.3,5.7,0.406,0.446,0.6,9.4,0.58,0.771,6.7,7.8,1.2,0.4,13.3,20.1,0.1,-3.7,-0.1
359,Landry Shamet,27.0,NYK,50.0,15.2,5.7,0.461,0.397,0.667,9.7,0.601,0.678,4.6,4.7,1.5,0.2,8.5,14.8,1.0,-2.4,-0.1
360,Jordan Goodwin,26.0,LAL,29.0,18.7,5.6,0.438,0.382,0.818,12.1,0.541,0.472,11.6,10.5,2.7,1.9,14.9,14.1,1.0,-0.8,0.2
361,Shake Milton,28.0,LAL,57.0,14.7,5.5,0.453,0.358,0.797,11.9,0.563,0.417,7.0,18.3,1.5,0.5,12.5,16.7,1.3,-2.2,0.0
362,Aaron Holiday,28.0,HOU,62.0,12.8,5.5,0.437,0.398,0.829,12.2,0.594,0.675,5.2,14.3,1.2,1.2,11.5,16.8,2.0,-0.2,0.3
363,Jeff Green,38.0,HOU,32.0,12.4,5.4,0.504,0.367,0.808,13.6,0.649,0.653,7.8,7.0,0.7,0.9,6.4,14.7,1.3,0.4,0.2
364,Jonathan Isaac,27.0,ORL,71.0,15.4,5.4,0.414,0.258,0.682,16.6,0.512,0.466,16.5,5.5,2.8,7.0,8.2,16.2,3.4,0.7,0.7
365,Dean Wade,28.0,CLE,59.0,21.2,5.4,0.413,0.36,0.533,10.1,0.563,0.819,10.8,7.3,1.6,1.4,7.2,10.4,3.0,0.3,0.7
366,Keaton Wallace,25.0,ATL,31.0,16.2,5.4,0.401,0.329,1.0,10.1,0.503,0.506,5.5,21.0,2.6,1.7,16.5,16.4,0.4,-2.3,0.0
367,Kobe Bufkin,21.0,ATL,10.0,12.4,5.3,0.383,0.211,0.722,10.5,0.483,0.404,9.3,18.2,1.1,1.5,12.7,20.8,0.0,-4.0,-0.1
368,Jamal Cain,25.0,NOP,37.0,13.6,5.3,0.43,0.325,0.68,11.4,0.544,0.506,9.1,6.2,2.2,1.7,10.9,17.0,0.4,-3.4,-0.2
369,Pat Connaughton,32.0,MIL,41.0,14.7,5.3,0.469,0.321,0.774,12.1,0.567,0.458,9.8,15.8,0.7,1.7,11.2,15.6,1.2,-2.3,0.0
370,Kevin Love,36.0,MIA,23.0,10.9,5.3,0.357,0.358,0.696,16.2,0.488,0.583,20.7,13.1,3.0,1.5,10.1,24.6,0.4,0.4,0.2
371,Ben Sheppard,23.0,IND,63.0,19.5,5.3,0.418,0.342,0.889,9.2,0.555,0.693,8.0,8.6,1.5,1.0,6.9,11.3,2.1,-2.0,0.0
372,Monte Morris,29.0,PHO,45.0,12.7,5.2,0.426,0.36,0.857,13.1,0.546,0.441,6.5,18.1,1.7,0.5,9.0,18.1,0.8,-1.8,0.0
373,Jabari Walker,22.0,POR,60.0,12.5,5.2,0.515,0.389,0.69,15.0,0.601,0.314,15.3,7.2,2.1,0.7,11.6,16.3,2.0,-0.8,0.2
374,Javonte Green,31.0,NOP,68.0,18.5,5.1,0.429,0.326,0.724,10.7,0.541,0.491,9.4,5.9,2.5,2.4,9.1,11.8,1.6,-2.3,-0.1
375,Alex Reese,25.0,PHI,15.0,14.4,5.1,0.481,0.366,0.75,14.0,0.641,0.759,12.3,2.6,2.3,4.5,9.2,13.2,0.5,-1.2,0.0
376,Bismack Biyombo,32.0,SAS,28.0,18.9,5.1,0.588,0.0,0.4,12.2,0.576,0.0,16.0,7.9,1.5,3.9,17.8,12.3,0.8,-3.6,-0.2
377,Mitchell Robinson,26.0,NYK,17.0,17.1,5.1,0.661,0.0,0.684,20.4,0.676,0.0,20.0,5.9,2.7,5.8,13.4,11.1,1.3,3.3,0.4
378,Kai Jones,24.0,LAC,40.0,11.7,5.0,0.798,0.2,0.719,20.2,0.804,0.046,14.8,7.9,1.6,4.6,12.8,13.0,2.1,2.9,0.6
379,Ben Simmons,28.0,BRK,51.0,22.0,5.0,0.52,0.0,0.727,12.4,0.539,0.0,12.2,37.0,1.7,2.0,30.0,13.2,1.8,-0.5,0.4
380,Malaki Branham,21.0,SAS,47.0,9.1,5.0,0.458,0.405,0.818,12.0,0.575,0.442,6.4,13.4,1.2,0.4,14.3,23.8,0.1,-3.2,-0.1
381,Neemias Queta,25.0,BOS,62.0,13.9,5.0,0.65,0.0,0.754,16.3,0.674,0.015,14.9,7.4,1.0,4.5,14.8,13.7,3.2,-0.7,0.3
382,Alondes Williams,25.0,DET,1.0,4.0,5.0,1.0,1.0,0.0,53.4,1.25,0.5,0.0,65.0,0.0,0.0,0.0,21.1,0.0,44.1,0.0
383,Jaylen Martin,21.0,WAS,16.0,14.9,4.9,0.419,0.304,0.9,9.1,0.497,0.311,9.6,10.3,1.8,0.0,13.3,15.9,0.0,-6.3,-0.3
384,Lindy Waters III,27.0,GSW,52.0,15.0,4.9,0.369,0.344,0.727,8.8,0.504,0.747,7.6,9.1,1.7,1.3,7.3,14.8,1.0,-2.8,-0.2
385,Trevelin Queen,27.0,ORL,31.0,13.9,4.9,0.381,0.286,0.857,11.9,0.486,0.524,7.2,13.3,3.6,2.2,12.3,18.1,0.7,-0.3,0.2
386,Jock Landale,29.0,HOU,42.0,11.9,4.8,0.533,0.423,0.675,16.0,0.59,0.171,14.6,10.3,1.3,1.8,11.0,15.7,1.7,0.4,0.3
387,Colin Castleton,24.0,TOR,26.0,16.6,4.7,0.469,0.125,0.763,11.3,0.536,0.163,15.4,8.9,0.9,2.2,16.7,13.4,0.7,-5.0,-0.3
388,Taylor Hendricks,21.0,UTA,3.0,25.0,4.7,0.222,0.25,0.75,7.1,0.354,0.667,10.8,3.4,3.2,5.0,9.2,12.1,0.0,-3.5,0.0
389,David Roddy,23.0,ATL,33.0,12.4,4.6,0.456,0.311,0.769,11.9,0.561,0.488,11.2,11.5,1.6,2.0,13.9,16.0,0.5,-1.5,0.1
390,Drew Eubanks,27.0,UTA,61.0,12.2,4.6,0.593,0.5,0.662,15.6,0.622,0.031,16.5,10.6,0.8,5.0,15.4,15.1,1.7,-0.7,0.3
391,Pelle Larsson,23.0,MIA,55.0,14.2,4.6,0.438,0.337,0.672,10.2,0.546,0.468,6.5,11.6,2.0,0.9,9.5,14.4,1.4,-3.1,-0.2
392,Julian Phillips,21.0,CHI,79.0,14.2,4.6,0.446,0.327,0.789,10.2,0.571,0.533,7.9,4.4,1.6,1.5,7.8,12.9,1.9,-3.0,-0.3
393,Cody Williams,20.0,UTA,50.0,21.2,4.6,0.323,0.259,0.725,3.7,0.419,0.525,5.7,7.4,1.0,1.4,13.8,12.5,-1.2,-7.3,-1.4
394,Rob Dillingham,20.0,MIN,49.0,10.5,4.5,0.441,0.338,0.533,10.2,0.503,0.351,5.4,28.4,1.9,0.2,19.6,22.7,0.1,-4.2,-0.3
395,Jett Howard,21.0,ORL,60.0,11.7,4.5,0.374,0.296,0.696,7.1,0.491,0.71,5.7,9.6,0.9,1.5,11.7,19.2,0.1,-5.3,-0.6
396,Kevon Looney,28.0,GSW,76.0,15.0,4.5,0.514,0.4,0.566,17.0,0.535,0.018,21.8,14.3,2.0,3.1,10.8,13.3,4.3,0.3,0.7
397,Mason Plumlee,34.0,PHO,74.0,17.6,4.5,0.619,0.0,0.648,14.8,0.645,0.02,19.5,13.6,1.3,3.4,18.6,10.8,3.7,-0.6,0.5
398,Dalen Terry,22.0,CHI,73.0,13.5,4.5,0.448,0.356,0.71,9.6,0.546,0.388,6.6,12.7,2.1,1.3,15.1,14.9,1.1,-3.8,-0.5
399,Marvin Bagley III,25.0,WAS,31.0,8.5,4.4,0.519,0.158,0.657,18.4,0.56,0.179,16.6,6.5,1.6,2.7,9.0,20.9,0.6,-1.2,0.1
400,Charles Bassey,24.0,SAS,36.0,10.4,4.4,0.581,0.0,0.636,19.0,0.597,0.0,21.7,6.6,1.8,7.2,14.9,17.5,1.1,-1.1,0.1
401,Tony Bradley,27.0,IND,14.0,8.1,4.4,0.644,0.333,0.333,23.2,0.64,0.067,20.7,8.3,0.9,7.2,9.5,20.1,0.4,1.2,0.1
402,Reggie Jackson,34.0,PHI,31.0,12.4,4.4,0.391,0.338,0.778,9.8,0.496,0.556,6.2,17.1,2.1,0.8,11.0,17.5,0.1,-4.0,-0.2
403,Reed Sheppard,20.0,HOU,52.0,12.6,4.4,0.351,0.338,0.813,9.7,0.465,0.594,6.4,15.2,2.6,2.3,13.1,17.8,0.8,-1.7,0.1
404,Lamar Stevens,27.0,MEM,17.0,9.1,4.4,0.46,0.296,0.727,11.5,0.545,0.429,13.0,6.9,1.5,1.8,12.8,20.2,0.2,-4.2,-0.1
405,Mo Bamba,26.0,LAC,32.0,12.9,4.3,0.464,0.278,0.704,13.9,0.557,0.482,19.7,6.0,1.1,7.4,13.9,15.2,1.0,-0.9,0.1
406,Jevon Carter,29.0,CHI,36.0,8.9,4.3,0.377,0.333,0.8,12.2,0.509,0.719,6.4,17.2,1.9,0.8,6.8,21.0,0.3,-2.1,0.0
407,Micah Potter,26.0,UTA,38.0,18.6,4.3,0.422,0.316,0.85,8.5,0.563,0.726,12.5,5.8,1.0,1.9,17.7,10.3,0.4,-3.5,-0.3
408,Terrence Shannon Jr.,24.0,MIN,32.0,10.6,4.3,0.482,0.355,0.81,11.9,0.56,0.272,7.7,13.8,1.0,1.4,10.9,17.7,0.6,-2.1,0.0
409,Daniel Theis,32.0,NOP,38.0,16.3,4.3,0.473,0.243,0.838,12.1,0.558,0.287,14.2,13.0,1.4,3.1,14.7,11.6,1.0,-3.3,-0.2
410,Torrey Craig,34.0,BOS,26.0,12.1,4.2,0.422,0.364,0.667,12.9,0.567,0.733,12.5,7.2,1.3,3.5,7.7,14.1,0.8,-0.9,0.1
411,Wendell Moore Jr.,23.0,DET,36.0,13.9,4.2,0.468,0.341,0.818,11.0,0.553,0.325,10.3,11.6,1.9,1.0,16.6,13.8,0.7,-2.7,-0.1
412,Dominick Barlow,21.0,ATL,35.0,10.7,4.2,0.531,0.259,0.636,14.6,0.58,0.239,12.4,6.9,1.1,3.9,3.8,14.5,1.0,-2.2,0.0
413,Kessler Edwards,24.0,DAL,40.0,15.2,4.2,0.496,0.407,0.923,11.3,0.597,0.4,10.3,9.1,1.5,2.8,10.2,11.1,1.2,-1.4,0.1
414,Oso Ighodaro,22.0,PHO,61.0,17.1,4.2,0.604,0.0,0.58,11.1,0.61,0.011,11.9,9.1,1.3,2.6,15.7,10.5,1.6,-2.6,-0.2
415,Kris Murray,24.0,POR,69.0,15.1,4.2,0.419,0.225,0.456,9.1,0.472,0.43,9.5,9.0,1.6,1.5,12.4,13.9,0.7,-3.0,-0.3
416,Duop Reath,28.0,POR,46.0,10.2,4.2,0.422,0.321,0.909,13.7,0.552,0.639,10.6,8.0,1.2,2.7,8.3,17.0,1.0,-0.3,0.2
417,Cam Spencer,24.0,MEM,25.0,10.1,4.2,0.415,0.365,1.0,14.2,0.587,0.634,6.3,16.9,1.7,0.4,6.2,15.4,0.8,0.5,0.2
418,Maxwell Lewis,22.0,BRK,28.0,11.7,4.1,0.417,0.38,0.7,9.9,0.516,0.463,9.5,9.0,1.4,2.1,11.1,16.9,0.2,-4.4,-0.2
419,Jaylen Clark,23.0,MIN,40.0,13.1,4.1,0.467,0.431,0.784,12.0,0.598,0.425,5.6,6.7,3.4,0.4,5.5,12.0,1.6,-0.2,0.2
420,Caleb Houstan,22.0,ORL,58.0,13.6,4.1,0.421,0.4,0.882,9.4,0.605,0.842,5.5,6.4,1.4,0.7,6.2,11.7,1.8,-2.2,0.0
421,Jordan Miller,25.0,LAC,37.0,11.4,4.1,0.433,0.211,0.8,10.5,0.509,0.284,7.8,11.2,2.0,1.2,14.8,18.2,0.4,-2.8,-0.1
422,Jalen Pickett,25.0,DEN,49.0,13.6,4.1,0.428,0.396,0.75,10.9,0.545,0.561,5.9,19.5,1.4,0.7,11.6,13.2,1.1,-1.5,0.1
423,Paul Reed,25.0,DET,45.0,9.7,4.1,0.507,0.286,0.762,18.6,0.573,0.197,15.6,14.0,4.3,5.4,13.9,18.0,1.6,2.9,0.5
424,Gui Santos,22.0,GSW,56.0,13.6,4.1,0.458,0.33,0.69,11.7,0.575,0.575,12.1,14.2,1.6,1.2,17.5,13.2,1.7,-1.7,0.1
425,Jarred Vanderbilt,25.0,LAL,36.0,16.1,4.1,0.488,0.281,0.556,13.2,0.537,0.264,17.6,9.4,3.0,1.6,17.5,12.5,1.4,-1.0,0.2
426,Colby Jones,22.0,SAC,39.0,13.2,4.0,0.457,0.327,0.657,11.4,0.544,0.38,9.0,12.0,2.4,2.4,13.7,13.7,0.6,-2.8,-0.1
427,Nicolas Batum,36.0,LAC,78.0,17.5,4.0,0.437,0.433,0.81,10.3,0.633,0.853,9.0,7.8,1.9,2.6,12.1,9.0,3.5,0.8,1.0
428,Malachi Flynn,26.0,CHO,4.0,11.0,4.0,0.385,0.25,0.833,12.4,0.512,0.308,8.5,23.3,3.4,0.0,20.4,19.0,0.0,-2.8,0.0
429,Ron Harper Jr.,24.0,DET,1.0,17.0,4.0,0.125,0.0,1.0,7.9,0.225,0.75,22.8,14.3,0.0,0.0,0.0,22.0,0.0,-14.7,0.0
430,Josh Richardson,31.0,MIA,8.0,18.8,4.0,0.289,0.273,1.0,4.4,0.402,0.579,4.4,10.5,2.7,0.6,16.8,14.1,-0.1,-6.7,-0.2
431,Steven Adams,31.0,HOU,58.0,13.7,3.9,0.545,0.0,0.462,16.6,0.541,0.012,21.9,10.9,1.3,3.2,20.6,13.6,2.3,0.3,0.5
432,Kyle Lowry,38.0,PHI,35.0,18.8,3.9,0.35,0.33,0.818,9.8,0.525,0.752,5.8,19.2,2.5,1.6,13.8,10.1,1.0,-1.3,0.1
433,Olivier-Maxence Prosper,22.0,DAL,52.0,11.2,3.9,0.402,0.235,0.645,12.6,0.484,0.293,11.8,9.1,2.2,0.9,6.3,16.3,0.9,-2.1,0.0
434,Patty Mills,36.0,UTA,29.0,11.1,3.8,0.375,0.347,0.929,8.4,0.543,0.781,3.7,11.1,1.9,0.9,14.3,15.6,0.1,-3.2,-0.1
435,Branden Carlson,25.0,OKC,32.0,7.7,3.8,0.443,0.333,0.778,17.6,0.581,0.68,11.8,7.5,1.0,8.6,6.3,19.3,0.9,1.3,0.2
436,Devin Carter,22.0,SAC,36.0,11.0,3.8,0.37,0.295,0.591,10.8,0.471,0.48,10.8,13.5,2.6,1.0,11.0,17.9,0.4,-3.2,-0.1
437,Ousmane Dieng,21.0,OKC,37.0,10.9,3.8,0.432,0.324,0.688,11.5,0.538,0.568,10.7,9.6,2.0,1.7,12.0,15.7,0.9,-0.9,0.1
438,Markieff Morris,35.0,LAL,15.0,11.0,3.7,0.3,0.25,0.833,6.0,0.385,0.514,7.8,17.5,0.6,1.7,6.4,20.5,-0.2,-7.6,-0.2
439,Emoni Bates,21.0,CLE,10.0,7.5,3.7,0.342,0.367,0.0,9.8,0.487,0.789,5.1,14.2,0.6,1.2,5.0,22.6,0.1,-1.5,0.0
440,DeAndre Jordan,36.0,DEN,56.0,12.3,3.7,0.65,0.0,0.422,15.4,0.621,0.0,22.6,9.5,1.1,3.5,19.2,12.8,1.8,-1.2,0.2
441,Craig Porter Jr.,24.0,CLE,51.0,10.1,3.7,0.514,0.438,0.719,13.1,0.61,0.343,7.1,17.7,1.6,2.6,19.8,15.9,1.1,1.1,0.4
442,Jackson Rowe,28.0,GSW,6.0,8.7,3.7,0.471,0.3,0.5,15.9,0.56,0.588,11.4,11.1,3.7,0.0,4.8,16.7,0.2,1.0,0.0
443,Blake Wesley,21.0,SAS,58.0,11.8,3.7,0.435,0.293,0.623,9.9,0.51,0.312,4.8,22.3,2.6,0.8,20.2,16.7,0.2,-4.2,-0.4
444,JT Thor,22.0,WAS,20.0,12.5,3.6,0.424,0.286,0.682,10.0,0.517,0.356,10.1,3.3,1.5,3.2,11.6,13.1,0.2,-5.4,-0.2
445,Baylor Scheierman,24.0,BOS,31.0,12.4,3.6,0.355,0.317,0.75,10.3,0.49,0.745,9.2,11.3,2.2,0.5,9.4,14.5,0.7,-1.7,0.0
446,Jae'Sean Tate,29.0,HOU,52.0,11.3,3.6,0.473,0.348,0.681,12.3,0.557,0.311,10.6,10.5,2.2,1.1,11.5,13.3,1.6,-0.7,0.2
447,Jaylon Tyson,22.0,CLE,47.0,9.6,3.6,0.43,0.345,0.792,11.1,0.523,0.389,11.5,12.4,1.4,0.6,14.0,17.4,0.8,-2.7,-0.1
448,Elfrid Payton,30.0,NOP,24.0,21.3,3.5,0.328,0.167,0.571,8.5,0.34,0.049,8.3,43.3,2.3,2.1,32.1,15.2,-0.6,-6.4,-0.6
449,Luka Garza,26.0,MIN,39.0,5.6,3.5,0.495,0.278,0.686,18.8,0.573,0.343,13.7,8.2,1.4,1.3,9.1,26.2,0.7,-2.3,0.0
450,Cory Joseph,33.0,ORL,50.0,12.2,3.5,0.403,0.364,0.778,10.9,0.547,0.695,6.9,17.0,2.1,0.6,10.0,12.8,1.5,-0.8,0.2
451,Doug McDermott,33.0,SAC,42.0,8.1,3.5,0.427,0.436,0.6,9.5,0.617,0.863,3.6,2.8,0.6,0.6,4.8,15.7,0.4,-3.2,-0.1
452,Dario Šarić,30.0,DEN,16.0,13.1,3.5,0.362,0.269,0.7,7.7,0.449,0.448,13.1,13.1,1.6,0.4,19.4,15.6,0.0,-4.8,-0.1
453,Jamaree Bouyea,25.0,MIL,5.0,12.4,3.4,0.5,0.2,0.667,9.7,0.581,0.417,4.4,20.8,3.1,3.0,35.3,16.0,0.0,-5.4,0.0
454,Bruno Fernando,26.0,TOR,17.0,8.6,3.4,0.531,0.0,0.75,15.3,0.552,0.0,18.6,17.9,1.3,5.8,21.0,18.9,0.3,-0.7,0.1
455,Andre Jackson Jr.,23.0,MIL,67.0,14.6,3.4,0.477,0.395,0.5,8.6,0.554,0.386,10.1,10.9,1.7,1.3,21.8,11.9,1.2,-3.4,-0.3
456,Isaac Jones,24.0,SAC,40.0,7.6,3.4,0.651,0.375,0.639,15.2,0.678,0.096,10.5,5.6,0.8,3.2,13.9,16.3,0.7,-1.7,0.0
457,Kevin Knox,25.0,GSW,14.0,6.0,3.3,0.5,0.267,0.75,17.1,0.582,0.417,10.9,9.4,1.2,4.5,9.2,21.8,0.2,-1.3,0.0
458,Damion Lee,32.0,PHO,25.0,5.8,3.3,0.365,0.243,0.952,11.9,0.499,0.5,7.8,11.5,2.1,0.0,10.7,28.6,-0.1,-5.1,-0.1
459,Jeenathan Williams,25.0,HOU,20.0,7.4,3.3,0.435,0.231,0.625,8.6,0.496,0.419,4.7,8.8,2.6,2.4,17.6,22.3,0.0,-5.7,-0.1
460,Elijah Harkless,24.0,UTA,10.0,13.8,3.2,0.314,0.28,0.5,7.8,0.425,0.714,8.2,7.7,3.5,0.7,7.4,12.3,0.1,-3.8,-0.1
461,Zeke Nnaji,24.0,DEN,57.0,10.7,3.2,0.496,0.327,0.614,12.0,0.574,0.369,8.1,4.6,2.0,5.6,8.0,12.2,1.2,-1.3,0.1
462,Cam Reddish,25.0,LAL,33.0,17.8,3.2,0.404,0.277,0.615,7.4,0.498,0.5,6.3,4.8,2.8,1.6,10.2,8.8,0.7,-2.7,-0.1
463,Delon Wright,32.0,MIL,40.0,15.9,3.1,0.344,0.274,0.6,9.2,0.44,0.557,5.7,15.0,2.7,1.8,13.4,11.3,0.7,-1.4,0.1
464,Kylor Kelley,27.0,DAL,11.0,11.5,3.1,0.636,0.0,0.6,12.1,0.644,0.0,16.8,5.3,0.4,2.1,13.2,10.3,0.3,-5.4,-0.1
465,Gary Harris,30.0,ORL,48.0,14.8,3.0,0.383,0.356,0.583,6.9,0.524,0.759,5.2,5.8,1.8,1.6,10.9,9.5,1.0,-2.7,-0.1
466,Maxi Kleber,33.0,DAL,34.0,18.7,3.0,0.385,0.265,0.762,5.6,0.489,0.51,8.1,8.3,0.7,2.3,17.9,8.7,0.3,-3.8,-0.3
467,Taze Moore,26.0,POR,2.0,10.0,3.0,0.2,0.25,0.5,7.1,0.276,0.4,21.7,6.8,4.9,0.0,15.5,26.8,-0.1,-4.3,0.0
468,Rayan Rupert,20.0,POR,52.0,8.8,3.0,0.408,0.271,0.767,8.1,0.499,0.415,8.2,7.6,1.7,0.8,16.2,16.8,0.1,-4.7,-0.3
469,P.J. Tucker,39.0,NYK,3.0,19.3,3.0,0.429,0.5,0.0,5.5,0.643,0.857,7.9,0.0,0.9,1.6,12.5,6.0,0.1,-7.2,-0.1
470,Pete Nance,24.0,PHI,13.0,10.6,2.9,0.438,0.375,0.5,8.5,0.578,0.75,8.4,9.7,0.7,1.4,10.8,11.7,0.2,-4.9,-0.1
471,Markelle Fultz,26.0,SAC,21.0,8.8,2.9,0.418,0.5,1.0,8.9,0.452,0.119,6.1,20.0,2.7,1.1,18.2,19.3,-0.1,-4.7,-0.1
472,Taj Gibson,39.0,CHO,37.0,11.1,2.9,0.495,0.5,0.6,10.8,0.515,0.021,15.6,7.5,1.1,4.3,19.4,13.4,0.4,-5.3,-0.3
473,Tyler Smith,20.0,MIL,23.0,5.3,2.9,0.48,0.433,0.75,15.2,0.626,0.6,11.1,4.9,1.2,3.1,13.0,22.1,0.2,-0.9,0.0
474,RayJ Dennis,23.0,IND,11.0,6.4,2.7,0.333,0.286,1.0,13.9,0.443,0.636,9.6,26.9,4.8,2.6,12.9,24.0,0.1,0.7,0.0
475,David Duke Jr.,25.0,SAS,6.0,5.7,2.7,0.429,0.5,0.5,12.2,0.538,0.429,7.9,17.0,1.4,0.0,11.8,21.2,0.0,-1.5,0.0
476,Keshad Johnson,23.0,MIA,16.0,6.1,2.7,0.692,0.429,0.444,19.1,0.718,0.269,15.8,6.3,2.5,3.9,11.8,15.4,0.4,-0.1,0.0
477,Reece Beekman,23.0,BRK,36.0,13.0,2.6,0.327,0.175,0.762,7.5,0.4,0.374,4.7,19.1,3.5,0.4,15.3,12.8,0.1,-5.4,-0.4
478,Jae Crowder,34.0,SAC,9.0,11.4,2.6,0.318,0.267,0.833,6.6,0.467,0.682,10.9,7.1,1.4,0.0,14.0,12.0,0.1,-4.3,-0.1
479,Josh Minott,22.0,MIN,46.0,6.0,2.6,0.489,0.326,0.895,15.5,0.605,0.478,9.4,9.5,2.7,4.0,10.1,17.2,0.9,2.2,0.3
480,Hunter Tyson,24.0,DEN,51.0,7.8,2.6,0.375,0.311,0.75,9.0,0.506,0.617,10.7,6.1,1.2,1.3,9.6,15.5,0.4,-4.8,-0.3
481,Jaden Springer,22.0,BOS,43.0,8.5,2.5,0.389,0.25,0.711,10.7,0.511,0.533,8.6,12.1,3.2,1.0,13.0,14.3,0.5,-2.7,-0.1
482,Trey Jemison,25.0,LAL,38.0,10.3,2.5,0.554,0.0,0.394,8.9,0.537,0.0,14.8,5.5,1.1,3.6,21.3,12.4,0.3,-6.8,-0.5
483,Anthony Gill,32.0,WAS,51.0,7.8,2.5,0.489,0.323,0.66,10.2,0.586,0.352,8.6,5.7,1.1,0.5,8.3,12.7,0.5,-4.5,-0.3
484,Dillon Jones,23.0,OKC,54.0,10.2,2.5,0.383,0.254,0.607,8.1,0.464,0.474,11.8,12.6,1.4,0.7,16.2,13.3,0.8,-4.0,-0.3
485,Pat Spencer,28.0,GSW,39.0,6.4,2.5,0.406,0.227,0.733,12.6,0.455,0.218,9.9,28.1,2.7,1.1,14.3,21.2,0.3,-1.6,0.0
486,Johnny Davis,22.0,WAS,34.0,7.1,2.4,0.41,0.241,0.6,10.2,0.473,0.372,8.2,6.6,2.9,2.2,7.6,15.9,0.1,-2.8,0.0
